Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
68.0,65.0,72.0,-0.395315020267,-1.018042133,0.388115863,2.0,1.0,3.0
62.0,62.0,64.0,-1.42649755053,-1.620681274,-1.218921847,2.0,1.0,3.0
62.0,62.0,63.0,-1.5001534456,-1.620681274,-1.41980156,3.0,1.0,3.0
63.0,62.0,64.0,-1.3327536845,-1.620681274,-1.218921847,2.0,1.0,3.0
61.0,60.0,64.0,-1.6340732552,-2.022440701,-1.218921847,2.0,1.0,3.0
63.0,63.0,64.0,-1.27248977047,-1.41980156,-1.218921847,2.0,1.0,3.0
65.0,63.0,68.0,-1.018042133,-1.41980156,-0.415402992,2.0,1.0,2.0
65.0,64.0,67.0,-1.00465015207,-1.218921847,-0.616282705,2.0,1.0,2.0
66.0,66.0,67.0,-0.703330581067,-0.817162419,-0.616282705,3.0,1.0,2.0
68.0,68.0,69.0,-0.3350511064,-0.415402992,-0.214523278,3.0,1.0,2.0
66.0,66.0,67.0,-0.750202514333,-0.817162419,-0.616282705,3.0,1.0,2.0
68.0,67.0,70.0,-0.348443087,-0.616282705,-0.013643564,3.0,1.0,2.0
66.0,66.0,67.0,-0.723418552467,-0.817162419,-0.616282705,2.0,1.0,1.0
64.0,62.0,66.0,-1.08500203733,-1.620681274,-0.817162419,2.0,1.0,1.0
65.0,63.0,68.0,-1.018042133,-1.41980156,-0.415402992,2.0,1.0,1.0
67.0,66.0,69.0,-0.549322800667,-0.817162419,-0.214523278,2.0,1.0,1.0
68.0,67.0,70.0,-0.348443087,-0.616282705,-0.013643564,2.0,1.0,1.0
70.0,69.0,73.0,0.147060206567,-0.214523278,0.588995577,2.0,1.0,2.0
74.0,72.0,77.0,0.789875290667,0.388115863,1.392514432,2.0,1.0,2.0
70.0,70.0,70.0,-0.013643564,-0.013643564,-0.013643564,2.0,1.0,2.0
72.0,69.0,74.0,0.388115863,-0.214523278,0.78987529,2.0,1.0,2.0
68.0,67.0,71.0,-0.301571153967,-0.616282705,0.187236149,2.0,1.0,2.0
68.0,67.0,70.0,-0.341747096567,-0.616282705,-0.013643564,2.0,1.0,2.0
69.0,68.0,70.0,-0.1542593638,-0.415402992,-0.013643564,2.0,1.0,2.0
72.0,69.0,75.0,0.441683786733,-0.214523278,0.990755004,2.0,1.0,2.0
79.0,75.0,86.0,1.94158564893,0.990755004,3.200431855,2.0,1.0,1.0
75.0,70.0,78.0,1.05771490867,-0.013643564,1.593394145,2.0,1.0,1.0
79.0,75.0,82.0,1.84784178273,0.990755004,2.396913,2.0,1.0,1.0
74.0,73.0,75.0,0.789875290467,0.588995577,0.990755004,2.0,1.0,1.0
71.0,66.0,76.0,0.347939920433,-0.817162419,1.191634718,2.0,1.0,1.0
69.0,66.0,73.0,-0.147563373333,-0.817162419,0.588995577,2.0,1.0,1.0
74.0,74.0,75.0,0.923795099333,0.78987529,0.990755004,2.0,1.0,1.0
76.0,76.0,77.0,1.25859462267,1.191634718,1.392514432,2.0,1.0,1.0
78.0,78.0,80.0,1.72061796387,1.593394145,1.995153573,2.0,1.0,1.0
73.0,68.0,78.0,0.702827414433,-0.415402992,1.593394145,2.0,2.0,1.0
65.0,65.0,68.0,-0.8640343523,-1.018042133,-0.415402992,2.0,2.0,1.0
65.0,65.0,67.0,-0.884122323667,-1.018042133,-0.616282705,2.0,1.0,1.0
72.0,67.0,76.0,0.515339681867,-0.616282705,1.191634718,2.0,1.0,1.0
73.0,70.0,75.0,0.655955481333,-0.013643564,0.990755004,2.0,2.0,1.0
71.0,70.0,72.0,0.187236149333,-0.013643564,0.388115863,2.0,2.0,1.0
72.0,70.0,75.0,0.522035672333,-0.013643564,0.990755004,2.0,2.0,1.0
75.0,75.0,75.0,0.990755004,0.990755004,0.990755004,2.0,2.0,1.0
75.0,74.0,76.0,1.0108429754,0.78987529,1.191634718,2.0,2.0,1.0
72.0,70.0,74.0,0.388115863,-0.013643564,0.78987529,2.0,2.0,1.0
72.0,70.0,77.0,0.441683787067,-0.013643564,1.392514432,2.0,2.0,1.0
75.0,73.0,77.0,1.00414698533,0.588995577,1.392514432,2.0,2.0,1.0
