Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
66.0,64.0,74.0,0.130807705406,-0.569292549614,2.42258888209,2.0,2.0,3.0
70.0,64.0,74.0,1.44125177249,-0.569292549614,2.42258888209,4.0,2.0,3.0
68.0,66.0,72.0,0.791016208003,0.0290837367279,1.82421259575,4.0,2.0,3.0
71.0,65.0,75.0,1.55294867928,-0.270104406443,2.72177702527,4.0,1.0,3.0
62.0,59.0,66.0,-1.1337608464,-2.06523326547,0.0290837367279,4.0,1.0,3.0
63.0,61.0,69.0,-0.591233013447,-1.46685697913,0.92664816624,1.0,1.0,3.0
63.0,61.0,68.0,-0.671016518294,-1.46685697913,0.62746002307,1.0,1.0,1.0
65.0,62.0,69.0,0.0111324481369,-1.16766883596,0.92664816624,1.0,1.0,1.0
66.0,63.0,70.0,0.0889213653618,-0.868480692785,1.22583630941,1.0,1.0,1.0
65.0,61.0,68.0,-0.136467035827,-1.46685697913,0.62746002307,1.0,1.0,1.0
64.0,62.0,66.0,-0.513444096223,-1.16766883596,0.0290837367279,1.0,1.0,1.0
66.0,64.0,72.0,0.0310783243489,-0.569292549614,1.82421259575,1.0,1.0,2.0
65.0,63.0,68.0,-0.0447160052542,-0.868480692785,0.62746002307,1.0,1.0,2.0
