Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,Trust Factor,User_Attention
23:08:40,1,91,41,12,0,1,1
23:08:41,2,91,40,12,0,1,1
23:08:42,3,91,40,12,0,1,1
23:08:43,4,90,43,12,0,1,1
23:08:44,5,90,36,12,0,1,1
23:08:45,6,90,38,12,0,1,1
23:08:46,7,90,40,12,0,1,1
23:08:47,8,90,36,12,0,1,1
23:08:48,9,90,48,12,0,1,1
23:08:49,10,90,44,12,0,1,1
23:08:50,11,90,39,12,0,1,1
23:08:51,12,90,51,12,0,1,1
23:08:52,13,90,49,12,0,1,1
23:08:53,14,90,40,12,0,1,1
23:08:54,15,90,35,12,0,1,1
23:08:55,16,89,41,12,0,1,1
23:08:56,17,89,42,12,0,1,1
23:08:57,18,88,42,12,0,1,1
23:08:58,19,88,46,12,0,1,1
23:08:59,20,87,47,12,0,1,1
23:09:00,21,87,48,12,0,1,1
23:09:01,22,87,56,12,0,1,1
23:09:02,23,87,42,12,0,1,1
23:09:03,24,87,41,12,0,1,1
23:09:04,25,87,53,12,0,1,1
23:09:05,26,87,41,12,0,1,1
23:09:06,27,87,50,12,0,1,1
23:09:07,28,86,43,12,0,1,1
23:09:08,29,86,51,12,0,1,1
23:09:09,30,86,52,12,0,1,1
23:09:10,31,86,38,12,0,1,1
23:09:11,32,86,40,12,0,1,1
23:09:12,33,86,52,12,0,1,1
23:09:13,34,86,53,12,0,1,1
23:09:14,35,86,41,12,0,1,1
23:09:15,36,86,57,12,0,1,1
23:09:16,37,86,53,12,0,1,1
23:09:17,38,86,39,12,0,1,1
23:09:18,39,86,48,12,0,1,1
23:09:19,40,86,50,12,0,1,1
23:09:20,41,86,50,12,0,1,1
23:09:21,42,86,39,12,0,1,1
23:09:22,43,86,42,12,0,1,1
23:09:23,44,86,47,12,0,1,1
23:09:24,45,86,51,12,0,1,1
23:09:25,46,86,53,12,0,1,1
23:09:26,47,86,46,12,0,1,1
23:09:27,48,86,52,12,0,1,1
23:09:28,49,86,52,12,0,1,1
23:09:29,50,86,49,12,0,1,1
23:09:30,51,86,58,12,0,1,1
23:09:31,52,87,52,12,0,1,1
23:09:32,53,87,49,12,0,1,1
23:09:33,54,88,52,12,0,1,1
23:09:34,55,88,50,12,0,1,1
23:09:35,56,88,50,12,0,1,1
23:09:36,57,88,48,12,0,1,1
23:09:37,58,88,50,12,0,1,1
23:09:38,59,88,56,12,0,1,1
23:09:39,60,88,54,12,0,1,1
23:09:40,61,88,50,12,0,1,1
23:09:41,62,88,49,12,0,1,1
