Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention,Trust Factor
15:51:30,71,68,46,50,0,5,1
15:51:31,72,68,68,50,0,5,1
15:51:32,73,68,75,50,0,5,1
15:51:33,74,68,70,51,0,5,1
15:51:34,75,68,72,49,0,5,1
15:51:35,76,68,54,50,0,5,1
15:51:36,77,68,53,49,0,5,1
15:51:37,78,68,58,50,0,5,1
15:51:38,79,69,53,49,0,5,1
15:51:39,80,69,44,50,0,5,1
15:51:40,81,72,37,50,0,5,1
15:51:41,82,73,44,50,0,5,1
15:51:42,83,74,42,50,0,5,1
15:51:43,84,74,29,51,0,5,1
15:51:44,85,74,17,50,0,5,1
15:51:45,86,73,15,50,0,5,1
15:51:46,87,73,50,50,0,5,1
15:51:47,88,73,15,50,0,5,1
15:51:48,89,73,19,50,0,5,1
15:51:49,90,72,28,49,0,5,1
15:51:50,91,69,29,50,0,5,1
15:51:51,92,69,34,50,0,5,1
15:51:52,93,69,42,51,0,5,1
15:51:53,94,69,30,50,0,5,1
15:51:54,95,69,34,50,0,5,1
15:51:55,96,69,52,50,0,5,1
15:51:56,97,69,49,51,0,5,1
15:51:57,98,65,35,51,0,5,1
15:51:58,99,65,39,50,0,5,1
15:51:59,100,65,38,51,0,5,1
15:52:00,101,65,40,50,0,5,1
15:52:01,102,65,39,51,0,5,1
15:52:02,103,65,53,51,0,5,1
15:52:03,104,65,38,51,0,5,1
15:52:04,105,65,34,51,0,5,1
15:52:05,106,65,32,51,0,5,1
15:52:06,107,65,31,51,0,5,1
15:52:07,108,65,31,51,0,5,1
15:52:08,109,65,36,51,0,5,1
15:52:09,110,66,41,50,0,5,1
15:52:10,111,66,16,51,0,5,1
15:52:11,112,65,37,50,0,5,1
15:52:12,113,65,32,50,0,5,1
15:52:13,114,65,48,51,0,5,1
15:52:14,115,65,40,51,0,5,1
15:52:15,116,65,44,50,0,5,1
15:52:16,117,66,37,51,0,5,1
15:52:17,118,66,44,51,0,5,1
15:52:18,119,67,29,51,0,5,1
15:52:19,120,67,31,51,0,5,1
15:52:20,121,67,30,52,0,5,1
15:52:21,122,67,15,51,0,5,1
15:52:22,123,67,16,52,0,5,1
15:52:23,124,67,15,52,0,5,1
15:52:24,125,67,15,52,0,5,1
15:52:25,126,67,16,52,0,5,1
15:52:26,127,67,15,52,0,5,1
15:52:27,128,67,16,52,0,5,1
15:52:28,129,67,16,52,0,5,1
15:52:29,130,67,15,52,0,5,1
15:52:30,131,66,19,52,0,5,1
15:52:31,132,66,32,52,0,5,1
15:52:32,133,66,38,52,0,5,1
15:52:32,134,66,40,52,0,5,1
15:52:33,135,66,39,52,0,5,1
15:52:34,136,66,48,52,0,5,1
15:52:35,137,66,37,52,0,5,1
15:52:36,138,66,54,52,0,5,1
15:52:37,139,66,23,52,0,5,1
15:52:38,140,66,30,52,0,5,1
15:52:39,141,66,36,52,0,5,1
15:52:40,142,66,33,52,0,5,1
15:52:41,143,66,16,51,0,5,1
15:52:42,144,66,39,51,0,5,1
