Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
88.0,70.0,94.0,-1.25569241458,-6.22924116758,0.402157169749,2.0,1.0,3.0
94.0,94.0,96.0,0.660044882867,0.402157169749,0.954773697859,2.0,1.0,3.0
91.0,90.0,96.0,-0.187300460236,-0.703075886473,0.954773697859,2.0,1.0,3.0
90.0,90.0,91.0,-0.629393682725,-0.703075886473,-0.426767622417,4.0,1.0,3.0
89.0,88.0,90.0,-0.868860844906,-1.25569241458,-0.703075886473,2.0,1.0,3.0
88.0,88.0,90.0,-0.997804701463,-1.25569241458,-0.703075886473,2.0,4.0,3.0
92.0,90.0,93.0,0.0705872528819,-0.703075886473,0.125848905693,2.0,1.0,3.0
95.0,94.0,96.0,0.844250392237,0.402157169749,0.954773697859,2.0,1.0,3.0
95.0,95.0,96.0,0.733727086615,0.678465433804,0.954773697859,2.0,1.0,3.0
95.0,95.0,95.0,0.678465433804,0.678465433804,0.678465433804,2.0,1.0,3.0
92.0,91.0,95.0,0.0521667019452,-0.426767622417,0.678465433804,2.0,1.0,3.0
91.0,91.0,92.0,-0.297823765858,-0.426767622417,-0.150459358362,2.0,1.0,3.0
92.0,92.0,93.0,0.033746151008,-0.150459358362,0.125848905693,2.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,2.0,1.0,3.0
93.0,92.0,94.0,0.291633864127,-0.150459358362,0.402157169749,2.0,1.0,3.0
95.0,94.0,97.0,0.788988739424,0.402157169749,1.23108196191,2.0,1.0,3.0
97.0,97.0,98.0,1.45212857316,1.23108196191,1.50739022597,2.0,1.0,3.0
98.0,98.0,98.0,1.50739022597,1.50739022597,1.50739022597,2.0,1.0,3.0
98.0,98.0,98.0,1.50739022597,1.50739022597,1.50739022597,2.0,1.0,3.0
98.0,98.0,98.0,1.50739022597,1.50739022597,1.50739022597,2.0,1.0,3.0
98.0,98.0,98.0,1.50739022597,1.50739022597,1.50739022597,2.0,1.0,3.0
97.0,97.0,98.0,1.37844636941,1.23108196191,1.50739022597,2.0,1.0,3.0
97.0,97.0,98.0,1.26792306378,1.23108196191,1.50739022597,2.0,1.0,3.0
98.0,98.0,100.0,1.76527793909,1.50739022597,2.06000675408,2.0,1.0,3.0
98.0,98.0,100.0,1.61791353159,1.50739022597,2.06000675408,2.0,1.0,3.0
95.0,93.0,98.0,0.862670943174,0.125848905693,1.50739022597,2.0,1.0,3.0
94.0,93.0,97.0,0.457418822559,0.125848905693,1.23108196191,2.0,1.0,3.0
97.0,97.0,99.0,1.48896967503,1.23108196191,1.78369849003,2.0,1.0,3.0
98.0,96.0,99.0,1.67317518441,0.954773697859,1.78369849003,2.0,1.0,3.0
96.0,96.0,96.0,0.954773697859,0.954773697859,0.954773697859,2.0,1.0,3.0
96.0,96.0,98.0,1.21266141097,0.954773697859,1.50739022597,2.0,1.0,3.0
98.0,98.0,99.0,1.63633408253,1.50739022597,1.78369849003,2.0,1.0,3.0
95.0,92.0,99.0,0.788988739427,-0.150459358362,1.78369849003,2.0,1.0,3.0
90.0,88.0,92.0,-0.666234784597,-1.25569241458,-0.150459358362,2.0,1.0,3.0
88.0,88.0,88.0,-1.25569241458,-1.25569241458,-1.25569241458,2.0,1.0,3.0
87.0,86.0,88.0,-1.5135801277,-1.80830894269,-1.25569241458,2.0,1.0,3.0
84.0,84.0,87.0,-2.13987885956,-2.36092547081,-1.53200067864,2.0,1.0,3.0
87.0,87.0,87.0,-1.53200067864,-1.53200067864,-1.53200067864,2.0,1.0,3.0
92.0,87.0,94.0,0.0153256000712,-1.53200067864,0.402157169749,2.0,1.0,3.0
94.0,94.0,96.0,0.660044882867,0.402157169749,0.954773697859,2.0,1.0,3.0
94.0,94.0,96.0,0.512680475371,0.402157169749,0.954773697859,2.0,1.0,3.0
93.0,93.0,94.0,0.27321331319,0.125848905693,0.402157169749,2.0,1.0,3.0
95.0,93.0,97.0,0.881091494109,0.125848905693,1.23108196191,2.0,1.0,3.0
97.0,97.0,98.0,1.45212857316,1.23108196191,1.50739022597,2.0,1.0,3.0
98.0,94.0,99.0,1.54423132785,0.402157169749,1.78369849003,2.0,1.0,3.0
92.0,91.0,94.0,0.0153256000715,-0.426767622417,0.402157169749,2.0,1.0,3.0
89.0,88.0,91.0,-0.905701946779,-1.25569241458,-0.426767622417,2.0,1.0,3.0
88.0,88.0,89.0,-1.12674855802,-1.25569241458,-0.979384150528,2.0,1.0,3.0
87.0,87.0,89.0,-1.38463627114,-1.53200067864,-0.979384150528,2.0,1.0,3.0
87.0,86.0,88.0,-1.5135801277,-1.80830894269,-1.25569241458,2.0,1.0,3.0
83.0,83.0,86.0,-2.43460767455,-2.63723373486,-1.80830894269,2.0,1.0,3.0
85.0,84.0,88.0,-1.84515004457,-2.36092547081,-1.25569241458,2.0,1.0,3.0
90.0,88.0,92.0,-0.555711478976,-1.25569241458,-0.150459358362,2.0,1.0,3.0
93.0,92.0,95.0,0.236372211315,-0.150459358362,0.678465433804,2.0,1.0,3.0
94.0,93.0,95.0,0.475839373497,0.125848905693,0.678465433804,2.0,1.0,1.0
94.0,94.0,95.0,0.549521577245,0.402157169749,0.678465433804,2.0,1.0,1.0
93.0,93.0,94.0,0.181110558504,0.125848905693,0.402157169749,2.0,1.0,1.0
91.0,90.0,93.0,-0.260982663984,-0.703075886473,0.125848905693,2.0,1.0,1.0
90.0,90.0,91.0,-0.518870377102,-0.703075886473,-0.426767622417,2.0,1.0,1.0
89.0,89.0,90.0,-0.832019743032,-0.979384150528,-0.703075886473,2.0,1.0,1.0
89.0,89.0,91.0,-0.758337539284,-0.979384150528,-0.426767622417,2.0,1.0,1.0
90.0,89.0,91.0,-0.610973131787,-0.979384150528,-0.426767622417,2.0,1.0,1.0
88.0,88.0,89.0,-1.10832800709,-1.25569241458,-0.979384150528,1.0,1.0,1.0
90.0,89.0,92.0,-0.592552580851,-0.979384150528,-0.150459358362,1.0,1.0,1.0
92.0,92.0,93.0,0.070587252882,-0.150459358362,0.125848905693,1.0,1.0,1.0
93.0,93.0,93.0,0.125848905693,0.125848905693,0.125848905693,1.0,1.0,1.0
89.0,88.0,93.0,-0.795178641157,-1.25569241458,0.125848905693,1.0,1.0,1.0
90.0,88.0,93.0,-0.610973131786,-1.25569241458,0.125848905693,1.0,1.0,1.0
93.0,91.0,94.0,0.236372211316,-0.426767622417,0.402157169749,1.0,1.0,1.0
91.0,91.0,91.0,-0.426767622417,-0.426767622417,-0.426767622417,1.0,1.0,1.0
92.0,91.0,93.0,0.015325600071,-0.426767622417,0.125848905693,1.0,1.0,1.0
92.0,92.0,93.0,-0.003094950866,-0.150459358362,0.125848905693,1.0,1.0,1.0
91.0,90.0,92.0,-0.22414156211,-0.703075886473,-0.150459358362,1.0,1.0,1.0
91.0,90.0,92.0,-0.40834707148,-0.703075886473,-0.150459358362,1.0,1.0,1.0
92.0,92.0,93.0,0.033746151008,-0.150459358362,0.125848905693,1.0,2.0,1.0
91.0,90.0,92.0,-0.40834707148,-0.703075886473,-0.150459358362,1.0,1.0,1.0
91.0,90.0,92.0,-0.371505969606,-0.703075886473,-0.150459358362,1.0,2.0,1.0
91.0,91.0,93.0,-0.168879909299,-0.426767622417,0.125848905693,1.0,2.0,1.0
93.0,93.0,96.0,0.236372211315,0.125848905693,0.954773697859,1.0,1.0,1.0
95.0,95.0,96.0,0.8258298413,0.678465433804,0.954773697859,1.0,2.0,1.0
94.0,94.0,95.0,0.494259924434,0.402157169749,0.678465433804,1.0,2.0,1.0
94.0,94.0,95.0,0.494259924434,0.402157169749,0.678465433804,1.0,2.0,1.0
93.0,91.0,94.0,0.291633864127,-0.426767622417,0.402157169749,1.0,2.0,1.0
90.0,90.0,91.0,-0.555711478976,-0.703075886473,-0.426767622417,1.0,2.0,1.0
89.0,88.0,90.0,-0.960963599591,-1.25569241458,-0.703075886473,1.0,2.0,1.0
88.0,88.0,90.0,-0.997804701463,-1.25569241458,-0.703075886473,1.0,2.0,1.0
91.0,90.0,93.0,-0.22414156211,-0.703075886473,0.125848905693,1.0,2.0,1.0
93.0,93.0,95.0,0.383736618811,0.125848905693,0.678465433804,1.0,2.0,1.0
92.0,90.0,95.0,-0.0583566036769,-0.703075886473,0.678465433804,1.0,2.0,1.0
91.0,90.0,93.0,-0.316244316796,-0.703075886473,0.125848905693,1.0,2.0,1.0
92.0,91.0,93.0,-0.132038807425,-0.426767622417,0.125848905693,1.0,2.0,1.0
90.0,89.0,91.0,-0.684655335535,-0.979384150528,-0.426767622417,1.0,2.0,1.0
89.0,89.0,91.0,-0.72149643741,-0.979384150528,-0.426767622417,1.0,2.0,1.0
90.0,89.0,91.0,-0.684655335535,-0.979384150528,-0.426767622417,1.0,2.0,1.0
91.0,89.0,93.0,-0.279403214921,-0.979384150528,0.125848905693,1.0,2.0,1.0
91.0,90.0,93.0,-0.260982663984,-0.703075886473,0.125848905693,1.0,2.0,1.0
90.0,90.0,93.0,-0.592552580851,-0.703075886473,0.125848905693,1.0,2.0,1.0
91.0,91.0,93.0,-0.316244316795,-0.426767622417,0.125848905693,1.0,2.0,1.0
