LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0251,0.0092,-0.0519,44.433,2,40.607,15:21:42:133
-0.0392,-0.0129,0.0424,44.4322,2,21.2,15:21:43:133
-0.017,0.0486,0.0087,44.4332,2,39.344,15:21:44:133
-0.0175,-0.0252,-0.0281,44.4329,2,41.096,15:21:45:133
-0.006,0.05,-0.0133,44.5662,2,36.646,15:21:46:134
-0.0238,0.0361,-0.0826,44.5662,2,45.491,15:21:47:134
0.0446,0.0185,-0.0065,44.4337,2,40.724,15:21:48:133
-0.0139,0.0356,-0.0103,44.5666,2,36.465,15:21:49:134
-0.0347,0.0039,0.0098,44.434,2,34.534,15:21:50:133
0.0054,2.00E-04,0.0076,45.4337,2,35.001,15:21:51:135
-0.0305,-0.0256,-0.0135,44.5665,2,42.049,15:21:52:133
-0.0141,0.0782,-0.0858,44.5664,2,31.568,15:21:53:133
-0.095,-0.0457,-0.0037,44.8679,2,50.98,15:21:54:134
0.0024,-0.1235,0.1241,44.4328,2,62.788,15:21:55:133
-0.0549,-0.0282,0.0938,45,2,54.387,15:21:56:133
-0.0294,-0.0744,-0.0619,45.4329,2,40.528,15:21:57:133
-0.0075,0.0275,0.0194,45.4339,2,21.11,15:21:58:134
0.009,-0.1224,-0.0267,44.5664,2,44.595,15:21:59:134
0.006,-0.062,-0.0744,44.8643,2,49.789,15:22:00:133
0.0109,-0.0271,-0.0308,45,2,59.099,15:22:01:134
-0.0437,-0.0294,0.1016,45.5764,2,61.811,15:22:02:133
0.0332,-0.0156,0.0304,45.5691,2,40.243,15:22:03:134
-0.0038,-0.0135,0.0172,45.4328,2,18.226,15:22:04:134
-0.0208,0.0065,-0.0202,45.5662,2,43.519,15:22:05:133
-0.0116,0.0286,-0.0632,45.5736,2,38.323,15:22:06:134
0.0105,-0.0109,-0.0416,45.5662,2,18.331,15:22:07:133
0.0082,0.018,-0.0179,45.5667,2,28.453,15:22:08:133
-0.0343,0.0086,-0.0062,45,2,24.686,15:22:09:134
0.0304,0.0715,-0.0331,45,2,35.423,15:22:10:134
-0.0028,-0.053,-0.0382,44.5662,2,62.099,15:22:11:134
-0.0043,0.056,0.0591,45.4334,2,43.575,15:22:12:134
-0.0087,-0.0393,0.0322,44.8676,2,15.372,15:22:13:134
0.0293,0.0148,-3.00E-04,44.8675,2,36.441,15:22:14:133
-0.0313,0.0214,0.012,45,2,43.465,15:22:15:133
0.0012,-0.0105,-0.0595,45,2,48.634,15:22:16:134
0.0018,0.0105,0.0201,44.8676,2,46.703,15:22:17:134
-0.0351,5.00E-04,0.0716,44.8662,2,49.315,15:22:18:135
-0.005,0.0204,-0.0367,44.8519,2,46.628,15:22:19:134
0.021,-0.0012,0.0112,44.8477,2,42.173,15:22:20:134
0.0024,-0.0467,0.0859,45.4267,2,35.529,15:22:21:134
0.0079,-0.0112,-0.0326,45,2,31.498,15:22:22:134
-0.0011,-0.0279,-0.0334,44.837,2,28.846,15:22:23:134
0.0554,0.0281,-0.0368,44.8471,2,33.918,15:22:24:135
0.0101,0.0098,-0.0535,45.4298,2,32.032,15:22:25:134
0.0229,0.0194,0.0429,45.1523,2,33.498,15:22:26:133
0.0334,-0.0109,0.0201,45.4289,2,41.98,15:22:27:133
0.0314,0.0078,0.0627,45.1507,2,40.561,15:22:28:134
0.0159,0.0167,0.0085,45,2,51.167,15:22:29:134
0.0085,-0.0049,-0.0623,44.8524,2,24.755,15:22:30:134
0.0234,0.0623,-0.1526,45.434,2,59.275,15:22:31:134
-0.0034,-0.0264,-0.007,45.4316,2,44.769,15:22:32:133
0.0306,-0.0213,0.078,45.5799,2,31.867,15:22:33:134
0.0224,-0.0522,0.0394,45.5741,2,47.315,15:22:34:134
0.0157,-0.0428,-0.0113,45,2,43.451,15:22:35:134
0.0271,0.0013,0.0239,44.4319,2,44.569,15:22:36:134
0.0404,0.0489,0.0166,45.4315,2,45.829,15:22:37:135
0.0259,0.0067,0.0649,45.5744,2,43.606,15:22:38:134
0.0394,-0.0042,0.0053,45.4311,2,32.083,15:22:39:134
0.0249,0.0362,-0.0046,44.5814,2,34.549,15:22:40:134
0.0402,0.0121,-0.0067,44.8561,2,46.691,15:22:41:133
0.0485,0.0235,0.0011,44.8361,2,28.158,15:22:42:134
0.0067,0.0273,-0.0188,45.4308,2,26.071,15:22:43:134
0.0394,0.0204,-0.0466,45.4255,2,49.395,15:22:44:134
0.024,-0.0237,-0.0041,45.4271,2,29.827,15:22:45:133
0.0149,-0.0377,0.0246,45.4336,2,37.971,15:22:46:133
0.041,0.0147,0.0491,44.5661,2,41.479,15:22:47:134
-0.0113,0.0198,-0.0211,45.571,2,36.871,15:22:48:133
0.0231,-0.012,0.0101,45.4314,2,40.996,15:22:49:134
-0.0122,-0.0143,0.0185,45,2,40.704,15:22:50:135
0.0647,-0.036,-0.0703,45.5712,2,44.868,15:22:51:134
0.0211,0.0341,0.0166,45.1485,2,39.733,15:22:52:134
0.0391,-0.0049,0.1121,45.5765,2,44.453,15:22:53:134
0.0551,0.0266,0.0498,44.8612,2,38.581,15:22:54:134
0.0302,-0.0042,0.0283,44.8398,2,37.055,15:22:55:135
-0.0058,0.0376,0.0697,45.418,2,37.777,15:22:56:134
0.0155,-0.0026,-0.0176,45.4198,2,33.933,15:22:57:136
0.0506,-0.0032,-0.0148,45.1585,2,33.714,15:22:58:134
0.0539,-3.00E-04,0.0837,46,2,37.132,15:22:59:135
0.0432,-0.032,0.0282,45.4191,2,36.323,15:23:00:134
0.061,0.0054,-0.0305,45.5795,2,27.361,15:23:01:135
0.0399,0.0036,-0.0244,45.4184,2,31.331,15:23:02:133
0.0165,-0.0191,-0.0202,45.5799,2,35.144,15:23:03:134
0.0213,0.0149,0.038,45.4327,2,37.061,15:23:04:133
0.0137,-0.0072,-0.0328,45.4074,2,33.597,15:23:05:135
0.0116,0.0075,0.0834,45.5816,2,26.411,15:23:06:135
0.0065,0.0328,-0.0239,45.5814,2,30.198,15:23:07:135
0.0179,-8.00E-04,-0.0075,45,2,33.969,15:23:08:134
0.0179,-0.0342,0.0414,44.5671,2,29.351,15:23:09:134
4.00E-04,0.0033,0.0939,45,2,33.437,15:23:10:135
0.0365,0.0168,-0.0285,45.1434,2,40.396,15:23:11:134
-0.0157,-0.0034,0.0608,45.4246,2,15.917,15:23:12:134
0.0418,0.0436,-0.0188,45.1472,2,17.161,15:23:13:134
-7.00E-04,-0.0103,0.0279,44.8557,2,34.08,15:23:14:134
-0.0274,0.0082,0.0419,44.8526,2,34.421,15:23:15:135
-0.0089,0.0032,0.0193,46,2,36.116,15:23:16:135
-0.0095,0.0114,0.0039,44,2,37.917,15:23:17:134
-0.0089,0.0309,-0.0483,44.5739,2,41.123,15:23:18:134
-0.0089,-0.0094,0.0333,45.1537,2,38.983,15:23:19:135
-0.0079,0.0188,-0.0312,44.8294,2,37.836,15:23:20:134
0.047,0.0063,-0.0421,45.148,2,43.087,15:23:21:134
-0.0343,0.0031,-0.0048,44.855,2,39.423,15:23:22:134
0.0424,-0.0285,0.0079,44.8401,2,36.205,15:23:23:134
0.0048,-0.0218,-0.0063,45.4173,2,32.953,15:23:24:135
0.0168,0.0031,0.0673,45.4203,2,40.715,15:23:25:135
0.0128,-0.0052,-0.1019,45.5809,2,33.452,15:23:26:134
-0.0083,-0.0285,-0.0033,45.132,2,35.513,15:23:27:134
-0.0389,-0.0168,0.0131,45,2,36.666,15:23:28:134
0.0045,-0.032,0.0831,45.5815,2,30.427,15:23:29:137
0.0071,-7.00E-04,0.0477,45.5814,2,27.193,15:23:30:134
0.0207,-0.0275,0.031,45.1631,2,29.138,15:23:31:135
-0.019,0.035,0.0044,44.8503,2,26.253,15:23:32:134
0.0038,0.0024,-0.0018,44.8398,2,29.453,15:23:33:135
-0.0093,-0.0034,-0.0071,45.1647,2,30.65,15:23:34:134
-0.0152,-0.0235,0.0406,44.8373,2,32.705,15:23:35:135
0.0026,0.0186,-0.0118,45.4227,2,34.634,15:23:36:147
-0.0041,-0.0193,0.0541,45.4184,2,35.244,15:23:37:135
0.012,-0.0214,-5.00E-04,45.4185,2,39.636,15:23:38:134
0.0081,0.0258,-0.014,45.1634,2,35.946,15:23:39:134
-0.0014,0.0018,0.0122,45.4192,2,41.711,15:23:40:134
0.0191,0.0024,0.0377,45.4013,2,40.817,15:23:41:135
0.0128,-0.0236,-0.0336,45.5673,2,42.39,15:23:42:134
0.0031,-0.0096,0.0901,45.5706,2,41.635,15:23:43:134
0.0019,-0.0053,0.04,45,2,40.887,15:23:44:134
0.0041,-0.0227,0.0172,45.4309,2,36.109,15:23:45:134
-0.0021,0.0417,0.0652,44.8556,2,34.998,15:23:46:134
-0.0161,0.0104,0.0104,44,2,40.358,15:23:47:134
0.0148,-0.0266,0.0142,45.4243,2,42.72,15:23:48:135
0.0039,-0.0043,0.0016,45.576,2,45.271,15:23:49:134
0.0179,-0.0087,0.0354,45.4301,2,42.228,15:23:50:134
