Heart_Rate,Sound,Light,Phone_Active,User_Attention
70,44,41,0,4
70,23,40,0,4
70,42,40,0,4
92,51,3,0,4
92,64,45,0,4
92,54,45,0,4
92,36,46,0,4
92,15,46,0,4
92,25,46,0,4
92,31,45,0,4
92,58,45,0,4
93,51,45,0,4
93,70,46,0,4
94,24,45,0,4
94,38,46,0,4
94,43,46,0,4
94,41,47,0,4
94,46,46,0,4
94,46,48,0,4
94,45,46,0,4
94,53,47,0,4
94,44,46,0,4
94,40,47,0,4
96,61,46,0,4
96,43,47,0,4
96,48,47,0,4
96,39,46,0,4
96,49,47,0,4
96,33,47,0,4
96,57,47,0,4
96,61,46,0,4
96,21,46,0,4
96,46,47,0,4
91,63,47,0,4
91,44,46,0,4
91,60,46,0,4
91,58,47,0,4
91,68,46,0,4
91,47,47,0,4
91,55,46,0,4
91,31,47,0,4
91,43,47,0,4
91,53,46,0,4
90,42,46,0,4
90,42,46,0,4
90,45,46,0,4
90,46,46,0,4
91,53,47,0,4
91,45,46,0,4
91,67,46,1,4
91,77,46,0,4
90,75,46,0,4
90,74,48,0,4
90,77,46,0,4
90,76,46,0,4
90,74,47,0,4
90,73,2,1,4
90,76,2,0,4
90,68,2,0,4
90,39,1,0,4
90,33,1,0,4
90,33,1,0,4
90,31,1,0,4
90,47,1,0,4
90,40,1,0,4
90,47,1,0,4
90,39,1,0,4
90,36,1,0,4
89,28,1,0,4
89,32,1,0,4
89,34,3,0,4
89,32,3,0,4
89,40,3,0,4
88,35,3,0,4
88,34,3,0,4
88,34,32,1,4
88,38,9,0,4
88,41,7,0,4
88,44,100,0,4
88,26,113,0,4
88,27,113,0,4
88,30,110,0,4
88,34,112,0,4
90,42,112,0,4
90,42,113,0,4
90,30,109,0,4
90,28,85,0,4
90,24,110,0,4
90,30,5,0,4
90,31,2,0,4
90,30,2,0,4
93,41,3,0,4
93,35,3,0,4
93,33,3,0,4
93,38,3,0,4
93,28,3,0,4
93,43,3,0,4
93,38,3,0,4
93,51,3,1,4
93,39,2,0,4
93,35,2,0,4
93,34,27,0,4
93,33,16,0,4
93,42,20,0,4
93,32,14,0,4
94,37,3,0,4
94,37,79,0,4
95,55,41,0,4
95,45,42,0,4
96,51,42,0,4
96,40,41,0,4
96,45,41,0,4
96,45,42,0,4
96,47,41,0,4
96,50,42,0,4
96,47,41,0,4
96,36,41,0,4
96,34,41,0,4
96,34,41,0,4
96,35,41,0,4
96,44,41,0,4
96,51,41,0,4
96,49,41,0,4
95,47,42,0,4
95,46,41,0,4
95,48,41,0,4
95,49,42,0,4
95,47,41,0,4
95,47,41,0,4
95,44,41,0,4
95,46,41,0,4
95,46,43,0,4
95,45,41,0,4
95,49,42,0,4
95,54,42,0,4
95,48,41,0,4
95,48,42,0,4
95,52,42,0,4
95,48,42,0,4
95,50,41,0,4
95,46,41,0,4
95,49,41,0,4
95,47,41,0,4
95,47,41,0,4
95,50,41,0,4
95,47,42,0,4
95,48,41,0,4
95,51,41,0,4
95,33,41,0,4
95,31,42,0,4
95,30,41,0,4
95,31,42,0,4
95,52,41,0,4
93,54,42,0,4
93,55,42,0,4
93,46,42,0,4
93,47,42,0,4
93,44,41,0,4
93,41,41,0,4
93,45,42,0,4
91,42,42,0,4
91,40,42,0,4
91,43,41,0,4
91,46,41,0,4
91,38,41,0,4
91,38,41,0,4
91,37,42,0,4
91,37,42,0,4
91,34,42,0,4
91,43,41,0,4
91,42,42,0,4
91,35,42,0,4
91,38,41,0,4
92,33,42,0,4
92,42,42,0,4
92,49,41,0,4
92,44,41,0,4
92,42,41,0,4
92,41,42,0,4
92,41,42,0,4
92,32,42,0,4
92,39,41,0,4
92,40,41,0,4
93,44,41,0,4
93,38,41,0,4
93,42,41,0,4
93,35,42,0,4
93,40,41,0,4
93,42,41,0,4
93,36,41,0,4
93,33,42,0,4
93,32,41,0,4
93,39,41,0,4
92,35,41,0,4
92,34,42,0,4
92,35,42,0,4
92,31,42,0,4
92,32,42,0,4
92,37,41,0,4
92,34,42,0,4
92,35,41,0,4
92,32,42,0,4
92,43,42,0,4
92,35,42,0,4
92,35,42,0,4
92,33,41,0,4
92,41,42,0,4
92,44,42,0,4
92,38,42,0,4
92,50,41,0,4
92,44,42,0,4
92,36,42,0,4
92,48,42,0,4
94,48,42,0,4
94,43,41,0,4
94,41,42,0,4
94,40,42,0,4
94,49,42,0,4
94,40,41,0,4
94,44,42,0,4
94,53,42,0,4
94,37,42,0,4
94,39,41,0,4
94,35,42,0,4
94,36,42,0,4
94,34,42,0,4
94,32,41,0,4
94,49,42,0,4
94,49,41,0,4
94,53,42,0,4
94,50,41,0,4
94,37,42,0,4
94,34,42,0,4
97,31,41,0,4
97,32,42,0,4
97,32,42,0,4
97,31,42,0,4
97,32,42,0,4
97,31,42,0,4
97,32,42,0,4
97,31,42,0,4
97,32,42,0,4
97,33,42,0,4
98,31,41,0,4
