Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
69.0,69.0,70.0,0.0034666778198,-0.0245609646274,0.0805426945496,2.0,1.0,3.0
71.0,71.0,73.0,0.227687817398,0.185646353727,0.395853672081,2.0,1.0,3.0
73.0,73.0,74.0,0.402860582693,0.395853672081,0.500957331258,2.0,1.0,3.0
70.0,70.0,72.0,0.150611800668,0.0805426945496,0.290750012904,2.0,1.0,3.0
68.0,68.0,69.0,-0.0595955176863,-0.129664623804,-0.0245609646274,3.0,1.0,3.0
68.0,68.0,68.0,-0.129664623804,-0.129664623804,-0.129664623804,3.0,2.0,3.0
68.0,68.0,68.0,-0.129664623804,-0.129664623804,-0.129664623804,2.0,2.0,3.0
67.0,66.0,68.0,-0.220754461757,-0.339871942158,-0.129664623804,2.0,2.0,3.0
67.0,67.0,68.0,-0.220754461757,-0.234768282981,-0.129664623804,2.0,2.0,3.0
67.0,67.0,68.0,-0.227761372369,-0.234768282981,-0.129664623804,2.0,2.0,3.0
66.0,65.0,67.0,-0.339871942158,-0.444975601335,-0.234768282981,2.0,2.0,3.0
63.0,63.0,65.0,-0.571099992347,-0.655182919689,-0.444975601335,2.0,2.0,3.0
62.0,62.0,63.0,-0.746272757642,-0.760286578866,-0.655182919689,2.0,1.0,3.0
62.0,62.0,62.0,-0.760286578866,-0.760286578866,-0.760286578866,2.0,1.0,3.0
67.0,67.0,68.0,-0.199733729922,-0.234768282981,-0.129664623804,2.0,1.0,3.0
68.0,68.0,68.0,-0.129664623804,-0.129664623804,-0.129664623804,2.0,1.0,2.0
69.0,69.0,70.0,0.0104735884316,-0.0245609646274,0.0805426945496,2.0,1.0,2.0
70.0,70.0,71.0,0.150611800668,0.0805426945496,0.185646353727,2.0,1.0,2.0
66.0,66.0,67.0,-0.248782104205,-0.339871942158,-0.234768282981,2.0,1.0,2.0
64.0,64.0,66.0,-0.522051618065,-0.550079260512,-0.339871942158,2.0,1.0,2.0
67.0,67.0,68.0,-0.143678445028,-0.234768282981,-0.129664623804,2.0,1.0,1.0
68.0,68.0,68.0,-0.129664623804,-0.129664623804,-0.129664623804,2.0,1.0,1.0
65.0,64.0,66.0,-0.409941048276,-0.550079260512,-0.339871942158,2.0,1.0,1.0
64.0,64.0,64.0,-0.550079260512,-0.550079260512,-0.550079260512,2.0,1.0,1.0
63.0,63.0,64.0,-0.634162187854,-0.655182919689,-0.550079260512,2.0,1.0,1.0
64.0,63.0,65.0,-0.487017065006,-0.655182919689,-0.444975601335,2.0,1.0,1.0
65.0,64.0,68.0,-0.416947958888,-0.550079260512,-0.129664623804,2.0,1.0,1.0
67.0,67.0,67.0,-0.234768282981,-0.234768282981,-0.234768282981,2.0,1.0,1.0
68.0,68.0,69.0,-0.0385747858509,-0.129664623804,-0.0245609646274,2.0,1.0,1.0
69.0,69.0,70.0,0.066528873326,-0.0245609646274,0.0805426945496,3.0,1.0,2.0
67.0,65.0,69.0,-0.164699176863,-0.444975601335,-0.0245609646274,3.0,1.0,2.0
65.0,65.0,65.0,-0.444975601335,-0.444975601335,-0.444975601335,3.0,1.0,2.0
57.0,57.0,58.0,-1.25077032169,-1.28580487475,-1.18070121557,3.0,1.0,2.0
58.0,58.0,58.0,-1.18070121557,-1.18070121557,-1.18070121557,2.0,1.0,2.0
61.0,61.0,63.0,-0.795321131925,-0.865390238043,-0.655182919689,2.0,1.0,2.0
64.0,63.0,65.0,-0.515044707453,-0.655182919689,-0.444975601335,2.0,1.0,3.0
66.0,66.0,67.0,-0.276809746652,-0.339871942158,-0.234768282981,2.0,1.0,3.0
67.0,67.0,67.0,-0.234768282981,-0.234768282981,-0.234768282981,2.0,1.0,3.0
65.0,63.0,67.0,-0.374906495217,-0.655182919689,-0.234768282981,2.0,1.0,3.0
63.0,63.0,63.0,-0.655182919689,-0.655182919689,-0.655182919689,2.0,1.0,3.0
58.0,57.0,60.0,-1.18070121557,-1.28580487475,-0.97049389722,2.0,1.0,3.0
59.0,59.0,60.0,-1.04056300334,-1.0755975564,-0.97049389722,2.0,1.0,3.0
60.0,60.0,62.0,-0.900424791102,-0.97049389722,-0.760286578866,2.0,1.0,3.0
61.0,61.0,62.0,-0.830355684984,-0.865390238043,-0.760286578866,2.0,1.0,3.0
62.0,61.0,63.0,-0.718245115195,-0.865390238043,-0.655182919689,2.0,1.0,3.0
64.0,63.0,66.0,-0.550079260512,-0.655182919689,-0.339871942158,2.0,1.0,3.0
