HEART RATE DATE/TIME,VALUE
 11:19:03 PM,105
 11:19:06 PM,105
 11:19:09 PM,105
 11:19:10 PM,105
 11:19:13 PM,105
 11:19:16 PM,105
 11:19:19 PM,105
 11:19:20 PM,94
 11:19:23 PM,94
 11:19:26 PM,94
 11:19:29 PM,94
 11:19:30 PM,97
 11:19:33 PM,97
 11:19:36 PM,97
 11:19:39 PM,97
 11:19:42 PM,98
 11:19:43 PM,99
 11:19:44 PM,100
 11:19:45 PM,101
 11:19:48 PM,101
 11:19:49 PM,102
 11:19:52 PM,102
 11:19:55 PM,102
 11:19:58 PM,102
 11:20:00 PM,103
 11:20:10 PM,105
 11:20:13 PM,105
 11:20:14 PM,104
 11:20:17 PM,104
 11:20:19 PM,105
 11:20:21 PM,106
 11:20:24 PM,106
 11:20:27 PM,106
 11:20:30 PM,109
 11:20:33 PM,109
 11:20:34 PM,110
 11:20:35 PM,111
 11:20:37 PM,110
 11:20:40 PM,110
 11:20:42 PM,109
 11:20:45 PM,109
 11:20:48 PM,109
 11:20:50 PM,105
 11:20:53 PM,105
 11:20:56 PM,105
 11:20:59 PM,105
 11:21:00 PM,97
 11:21:03 PM,97
 11:21:06 PM,97
 11:21:09 PM,97
 11:21:10 PM,96
 11:21:13 PM,96
 11:21:20 PM,95
 11:21:23 PM,95
 11:21:26 PM,95
 11:21:29 PM,95
 11:21:30 PM,102
 11:21:33 PM,102
 11:21:36 PM,102
 11:21:39 PM,102
 11:21:40 PM,99
 11:21:43 PM,99
 11:21:46 PM,99
 11:21:49 PM,99
 11:21:50 PM,97
 11:21:53 PM,97
 11:21:56 PM,97
 11:21:59 PM,97
 11:22:00 PM,100
 11:22:03 PM,100
 11:22:06 PM,100
 11:22:09 PM,100
 11:22:10 PM,102
 11:22:13 PM,102
 11:22:16 PM,102
 11:22:19 PM,102
 11:22:20 PM,103
 11:22:23 PM,103
 11:22:26 PM,103
 11:22:30 PM,103
 11:22:33 PM,103
 11:22:36 PM,103
 11:22:39 PM,103
 11:22:42 PM,103
 11:22:45 PM,103
 11:22:48 PM,103
 11:22:50 PM,106
 11:22:53 PM,106
 11:22:54 PM,107
 11:22:55 PM,108
 11:22:56 PM,109
 11:22:58 PM,110
 11:23:01 PM,109
 11:23:04 PM,109
 11:23:07 PM,109
 11:23:10 PM,106
 11:23:13 PM,106
 11:23:16 PM,106
 11:23:19 PM,106
 11:23:20 PM,105
 11:23:23 PM,105
 11:23:26 PM,105
 11:23:29 PM,105
 11:23:30 PM,105
 11:23:33 PM,105
 11:23:36 PM,105
 11:23:37 PM,105
 11:23:40 PM,104
 11:23:43 PM,104
 11:23:46 PM,104
 11:23:49 PM,104
 11:23:50 PM,103
 11:23:53 PM,103
 11:23:56 PM,103
 11:23:59 PM,103
 11:24:02 PM,103
 11:24:05 PM,103
 11:24:08 PM,103
 11:24:11 PM,103
 11:24:14 PM,103
 11:24:17 PM,103
 11:24:20 PM,103
 11:24:23 PM,103
 11:24:26 PM,102
 11:24:29 PM,102
 11:24:30 PM,101
 11:24:33 PM,101
 11:24:36 PM,101
 11:24:39 PM,101
 11:24:42 PM,101
 11:24:45 PM,101
 11:24:48 PM,101
 11:24:50 PM,100
 11:25:00 PM,100
 11:25:03 PM,100
 11:25:06 PM,100
 11:25:09 PM,100
 11:25:10 PM,99
 11:25:13 PM,99
