HEART RATE DATE/TIME,VALUE,,,,,,,,,
  1:16:10 PM,90,,,,,,,,,
  1:16:20 PM,85,,,,,,,,,
  1:16:35 PM,85,,,,,,,,,
  1:16:40 PM,86,,,,,,,,,
  1:16:50 PM,87,,,,,,,,,
  1:17:05 PM,87,,,,,,,,,
  1:17:10 PM,86,,,,,,,,,
  1:17:20 PM,91,,,,,,,,,
  1:17:30 PM,90,,,,,,,,,
  1:17:40 PM,85,,,,,,,,,
  1:17:55 PM,85,,,,,,,,,
  1:18:00 PM,85,,,,,,,,,
  1:18:10 PM,84,,,,,,,,,
  1:18:25 PM,84,,,,,,,,,
  1:18:30 PM,84,,,,,,,,,
  1:18:40 PM,84,,,,,,,,,
  1:18:45 PM,84,,,,,,,,,
  1:19:00 PM,85,,,,,,,,,
  1:19:10 PM,84,,,,,,,,,
  1:19:25 PM,83,,,,,,,,,
  1:19:40 PM,84,,,,,,,,,
  1:19:50 PM,85,,,,,,,,,
  1:20:00 PM,86,,,,,,,,,
  1:20:10 PM,85,,,,,,,,,
  1:20:15 PM,85,,,,,,,,,
  1:20:25 PM,84,,,,,,,,,
  1:20:40 PM,84,,,,,,,,,
  1:20:50 PM,84,,,,,,,,,
  1:21:05 PM,84,,,,,,,,,
  1:21:10 PM,82,,,,,,,,,
  1:21:20 PM,83,,,,,,,,,
  1:21:30 PM,81,,,,,,,,,
  1:21:45 PM,81,,,,,,,,,
  1:21:50 PM,80,,,,,,,,,
  1:21:55 PM,83,,,,,,,,,
  1:22:05 PM,82,,,,,,,,,
  1:22:15 PM,81,,,,,,,,,
  1:22:30 PM,81,,,,,,,,,
  1:22:35 PM,81,,,,,,,,,
  1:22:45 PM,80,,,,,,,,,
  1:23:00 PM,80,,,,,,,,,
  1:23:15 PM,80,,,,,,,,,
  1:23:25 PM,82,,,,,,,,,
  1:23:40 PM,79,,,,,,,,,
  1:23:50 PM,82,,,,,,,,,
  1:24:00 PM,83,,,,,,,,,
  1:24:15 PM,83,,,,,,,,,
  1:24:30 PM,83,,,,,,,,,
  1:24:40 PM,90,,,,,,,,,
  1:24:45 PM,89,,,,,,,,,
  1:24:55 PM,88,,,,,,,,,
  1:25:00 PM,87,,,,,,,,,
  1:25:10 PM,90,,,,,,,,,
  1:25:20 PM,88,,,,,,,,,
  1:25:25 PM,87,,,,,,,,,
  1:25:40 PM,87,,,,,,,,,
  1:25:55 PM,87,,,,,,,,,
  1:26:00 PM,87,,,,,,,,,
  1:26:05 PM,87,,,,,,,,,
  1:26:20 PM,86,,,,,,,,,
  1:26:30 PM,87,,,,,,,,,
  1:26:35 PM,86,,,,,,,,,
  1:26:50 PM,84,,,,,,,,,
  1:27:00 PM,84,,,,,,,,,
  1:27:10 PM,83,,,,,,,,,
  1:27:15 PM,83,,,,,,,,,
  1:27:30 PM,83,,,,,,,,,
  1:27:45 PM,83,,,,,,,,,
  1:27:50 PM,79,,,,,,,,,
  1:28:00 PM,79,,,,,,,,,
  1:28:10 PM,84,,,,,,,,,
  1:28:25 PM,83,,,,,,,,,
  1:28:40 PM,82,,,,,,,,,
  1:28:55 PM,82,,,,,,,,,
  1:29:00 PM,83,,,,,,,,,
  1:29:10 PM,83,,,,,,,,,
  1:29:25 PM,83,,,,,,,,,
  1:29:40 PM,82,,,,,,,,,
  1:29:45 PM,81,,,,,,,,,
  1:29:50 PM,80,,,,,,,,,
  1:30:05 PM,79,,,,,,,,,
  1:30:20 PM,79,,,,,,,,,
  1:30:30 PM,80,,,,,,,,,
  1:30:45 PM,80,,,,,,,,,
  1:31:00 PM,81,,,,,,,,,
  1:31:10 PM,81,,,,,,,,,
  1:31:25 PM,81,,,,,,,,,
  1:31:30 PM,80,,,,,,,,,
  1:31:45 PM,80,,,,,,,,,
  1:31:50 PM,78,,,,,,,,,
  1:32:00 PM,79,,,,,,,,,
  1:32:10 PM,83,,,,,,,,,
  1:32:20 PM,83,,,,,,,,,
  1:32:25 PM,82,,,,,,,,,
  1:32:35 PM,83,,,,,,,,,
  1:32:45 PM,82,,,,,,,,,
  1:32:50 PM,82,,,,,,,,,
  1:33:05 PM,82,,,,,,,,,
  1:33:10 PM,86,,,,,,,,,
  1:33:20 PM,85,,,,,,,,,
  1:33:30 PM,83,,,,,,,,,
  1:33:40 PM,82,,,,,,,,,
  1:33:55 PM,82,,,,,,,,,
  1:34:10 PM,84,,,,,,,,,
  1:34:20 PM,84,,,,,,,,,
  1:34:35 PM,84,,,,,,,,,
  1:34:50 PM,83,,,,,,,,,
  1:35:00 PM,82,,,,,,,,,
  1:35:05 PM,82,,,,,,,,,
  1:35:20 PM,82,,,,,,,,,
  1:35:30 PM,85,,,,,,,,,
  1:35:45 PM,85,,,,,,,,,
