HEART RATE DATE/TIME,VALUE
 03:27:10 PM,76
 03:27:25 PM,76
 04:49:30 PM,70
 04:49:40 PM,78
 04:49:55 PM,73
 04:50:10 PM,84
 04:50:15 PM,90
 04:50:20 PM,86
 04:50:25 PM,84
 04:50:40 PM,84
 04:50:45 PM,85
 04:50:50 PM,84
 04:51:05 PM,84
 04:51:10 PM,83
 04:51:15 PM,83
 04:51:20 PM,82
 04:51:30 PM,79
 04:51:35 PM,81
 04:51:40 PM,81
 04:51:55 PM,82
 04:52:00 PM,83
 04:52:10 PM,82
 04:52:15 PM,81
 04:52:30 PM,80
 04:52:35 PM,79
 04:52:40 PM,77
 04:52:45 PM,77
 04:53:00 PM,77
 04:53:15 PM,77
 04:53:20 PM,76
 04:53:29 PM,76
 04:53:32 PM,76
 04:53:33 PM,77
 04:53:36 PM,77
 04:53:39 PM,77
 04:53:42 PM,77
 04:53:45 PM,77
 04:53:48 PM,77
 04:53:51 PM,77
 04:53:54 PM,77
 04:53:57 PM,77
 04:54:00 PM,72
 04:54:03 PM,72
 04:54:06 PM,72
 04:54:09 PM,72
 04:54:10 PM,67
 04:54:13 PM,67
 04:54:16 PM,67
 04:54:17 PM,66
 04:54:20 PM,66
 04:54:23 PM,66
 04:54:26 PM,65
 04:54:29 PM,65
 04:54:30 PM,63
 04:54:33 PM,63
 04:54:36 PM,64
 04:54:38 PM,63
 04:54:39 PM,62
 04:54:40 PM,62
 04:54:42 PM,63
 04:54:45 PM,63
 04:54:48 PM,63
 04:54:51 PM,63
 04:54:54 PM,63
 04:54:57 PM,63
 04:55:00 PM,63
 04:55:03 PM,63
 04:55:06 PM,63
 04:55:09 PM,63
 04:55:12 PM,63
 04:55:15 PM,63
 04:55:18 PM,62
 04:55:21 PM,62
 04:55:24 PM,62
 04:55:27 PM,62
 04:55:30 PM,63
 04:55:33 PM,63
 04:55:34 PM,62
 04:55:35 PM,62
 04:55:38 PM,63
 04:55:41 PM,63
 04:55:43 PM,64
 04:55:46 PM,64
 04:55:49 PM,64
 04:55:50 PM,64
 04:55:53 PM,64
 04:55:56 PM,64
 04:55:59 PM,64
 04:56:00 PM,61
 04:56:03 PM,61
