Heart_Rate,Sound,Light,User_Attention,HR_std
70,2,1,1,-6.229241168
70,1,1,1,-6.229241168
70,2,1,1,-6.229241168
92,3,1,1,-0.150459358
92,4,1,1,-0.150459358
92,3,1,1,-0.150459358
92,2,1,1,-0.150459358
92,1,1,1,-0.150459358
92,1,1,1,-0.150459358
92,2,1,1,-0.150459358
92,3,1,1,-0.150459358
93,3,1,1,0.125848906
93,4,1,1,0.125848906
94,1,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
94,3,1,1,0.40215717
94,2,1,1,0.40215717
94,2,1,1,0.40215717
96,4,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,3,1,1,0.954773698
96,4,1,1,0.954773698
96,1,1,1,0.954773698
96,2,1,1,0.954773698
91,4,1,1,-0.426767622
91,2,1,1,-0.426767622
91,4,1,1,-0.426767622
91,3,1,1,-0.426767622
91,4,1,1,-0.426767622
91,2,1,1,-0.426767622
91,3,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,3,1,1,-0.426767622
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
91,3,1,1,-0.426767622
91,2,1,1,-0.426767622
91,4,1,1,-0.426767622
91,4,1,1,-0.426767622
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,4,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
89,1,1,1,-0.979384151
89,2,1,1,-0.979384151
89,2,1,1,-0.979384151
89,2,1,1,-0.979384151
89,2,1,1,-0.979384151
88,2,1,1,-1.255692415
88,2,1,1,-1.255692415
88,2,1,1,-1.255692415
88,2,1,1,-1.255692415
88,2,1,1,-1.255692415
88,2,4,1,-1.255692415
88,1,4,1,-1.255692415
88,1,4,1,-1.255692415
88,2,4,1,-1.255692415
88,2,4,1,-1.255692415
90,2,4,1,-0.703075886
90,2,4,1,-0.703075886
90,2,4,1,-0.703075886
90,1,3,1,-0.703075886
90,1,4,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
90,2,1,1,-0.703075886
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,1,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,3,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
94,2,1,1,0.40215717
94,2,2,1,0.40215717
95,3,1,1,0.678465434
95,2,1,1,0.678465434
96,3,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,3,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,2,1,1,0.954773698
96,3,1,1,0.954773698
96,2,1,1,0.954773698
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,2,1,1,0.678465434
95,3,1,1,0.678465434
93,3,1,1,0.125848906
93,3,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
93,2,1,1,0.125848906
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
91,2,1,1,-0.426767622
92,2,1,1,-0.150459358
92,2,1,1,-0.150459358
