LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0168,-0.0555,-0.0595,43.86,5,1014.56,39.4,38.381,29,16:53:28:021
0.0167,-0.0492,-0.0045,43.86,5,1014.55,39.4,41.115,1029,16:53:29:021
0.0029,-0.0413,0.0529,43.86,5,1014.52,39.4,36.282,2028,16:53:30:020
0.0321,-0.0296,-0.0065,43.86,5,1014.53,39.4,36.607,3029,16:53:31:021
0.0303,-0.0316,-0.0593,43.86,5,1014.5,39.4,36.492,4029,16:53:32:021
0.0496,0.045,-0.0443,43.86,5,1014.5,39.4,36.204,5029,16:53:33:021
0.0383,-0.0164,-0.0318,43.86,5,1014.53,39.4,36.254,6029,16:53:34:021
-0.0048,0.0167,0.0364,43.86,5,1014.51,39.4,36.935,7029,16:53:35:021
0.0152,0.0124,0.0203,43.86,5,1014.54,39.4,35.759,8029,16:53:36:021
0.0613,0.0062,0.027,43.86,5,1014.53,39.5,37.916,9028,16:53:37:020
-0.0035,0.0171,0.0577,43.86,5,1014.54,39.5,37.973,10029,16:53:38:021
0.0088,-0.0312,0.0634,43.86,5,1014.47,39.5,36.632,11029,16:53:39:021
-0.0011,0.0222,0.0016,43.86,5,1014.42,39.5,36.173,12028,16:53:40:020
-0.0222,-0.0105,0.0015,43.86,5,1014.43,39.5,36.133,13029,16:53:41:021
0.0223,0.012,0.0165,43.86,5,1014.4,39.5,36.423,14029,16:53:42:021
0.0264,0.0035,0.0358,43.86,5,1014.39,39.5,35.802,15029,16:53:43:021
-0.0221,-0.0662,-0.0195,43.86,5,1014.31,39.5,35.162,16029,16:53:44:021
0.0173,-0.0311,-0.0315,43.86,5,1014.35,39.5,35.696,17029,16:53:45:021
-0.0228,-0.0442,-0.0553,43.86,5,1014.37,39.5,37.837,18029,16:53:46:021
0.0477,-0.0546,-0.0138,43.86,5,1014.34,39.5,36.268,19029,16:53:47:021
-7.00E-04,0.0244,0.0576,43.86,5,1014.29,39.5,41.678,20029,16:53:48:021
-0.0537,-0.0501,0.0122,43.86,5,1014.31,39.5,42.525,21028,16:53:49:020
-0.0306,0.049,-0.0297,43.86,5,1014.31,39.5,40.372,22029,16:53:50:021
-0.0114,0.0093,0.0198,43.86,5,1014.31,39.5,40.391,23029,16:53:51:021
-0.008,-0.0074,0.054,43.86,5,1014.3,39.5,39.485,24029,16:53:52:021
-6.00E-04,0.0286,-0.0105,43.86,5,1014.27,39.5,45.49,25029,16:53:53:021
-0.0067,-0.013,-0.0956,43.86,5,1014.28,39.5,35.416,26029,16:53:54:021
0.0447,0.0753,5.00E-04,43.86,5,1014.31,39.5,39.702,27029,16:53:55:021
-0.0408,0.0061,-0.0787,43.86,5,1014.32,39.6,55.954,28029,16:53:56:021
0.0244,-0.0414,-0.0415,43.86,5,1014.3,39.6,36.067,29029,16:53:57:021
0.0118,5.00E-04,-0.0801,43.86,5,1014.25,39.6,35.563,30029,16:53:58:021
0.0159,6.00E-04,0.0139,43.86,5,1014.22,39.6,36.803,31029,16:53:59:021
-0.0238,0.036,-0.0223,43.86,5,1014.24,39.6,35.594,32029,16:54:00:021
0.0052,-0.0066,0.0217,43.86,5,1014.3,39.6,35.765,33029,16:54:01:021
0.003,-0.0128,2.00E-04,43.86,5,1014.23,39.6,34.882,34030,16:54:02:022
0.0376,0.001,-0.0266,43.86,5,1014.21,39.6,36.059,35029,16:54:03:021
-0.0368,-0.0127,-0.0323,43.86,5,1014.26,39.6,35.172,36029,16:54:04:021
-0.0221,0.0338,-0.0784,43.86,5,1014.26,39.6,34.324,37029,16:54:05:021
0.0268,0.0015,-0.0139,43.86,5,1014.32,39.6,35.036,38029,16:54:06:021
-0.0254,-0.0051,-0.0647,43.86,5,1014.34,39.6,33.766,39029,16:54:07:021
-0.0051,-0.0261,0.0236,43.86,5,1014.37,39.6,33.215,40029,16:54:08:021
-0.0728,-0.0325,0.0132,43.86,5,1014.27,39.6,35.156,41029,16:54:09:021
0.0579,0.0152,0.0528,43.86,5,1014.24,39.6,35.406,42030,16:54:10:022
-0.037,-0.0072,0.072,43.86,5,1014.29,39.6,34.054,43029,16:54:11:021
-0.0243,0.0131,-0.0915,43.86,5,1014.29,39.6,33.912,44029,16:54:12:021
-0.0436,-0.0019,-0.051,43.86,5,1014.27,39.6,35.125,45030,16:54:13:022
0.005,0.0113,-0.0331,43.86,5,1014.25,39.6,34.212,46029,16:54:14:021
-0.0087,-0.0044,-0.0142,43.86,5,1014.28,39.6,34.6,47029,16:54:15:021
0.0296,-0.0069,-0.0457,43.86,5,1014.33,39.6,34.032,48029,16:54:16:021
0.0055,0.0225,0.0183,43.86,5,1014.15,39.6,35.019,49029,16:54:17:021
0.007,-0.0085,-0.0447,43.86,5,1014.18,39.6,35.189,50029,16:54:18:021
-0.0031,-0.03,-1.00E-04,43.86,5,1014.19,39.6,37.613,51029,16:54:19:021
-0.0447,0.0046,-0.0704,43.86,5,1014.19,39.6,35.489,52029,16:54:20:021
-0.0253,0.0029,0.0455,43.86,5,1014.17,39.6,36.75,53029,16:54:21:021
0.0237,0.0068,-0.0325,43.86,5,1014.23,39.7,36.434,54029,16:54:22:021
-0.0069,0.018,0.0086,43.86,5,1014.26,39.7,33.285,55030,16:54:23:022
0.016,0.0028,0.0509,43.86,5,1014.29,39.7,36.885,56029,16:54:24:021
-0.0195,-0.0455,-0.0529,43.86,5,1014.31,39.7,35.614,57029,16:54:25:021
0.0538,-0.0146,-0.0424,43.86,5,1014.25,39.7,33.553,58029,16:54:26:021
0.0186,0.0146,-0.0061,43.86,5,1014.22,39.7,44.495,59029,16:54:27:021
0.0148,-0.0134,-0.0463,43.86,5,1014.22,39.7,41.21,60029,16:54:28:021
0.0396,0.0424,-0.0285,43.86,5,1014.21,39.7,38.405,61029,16:54:29:021
-0.0201,0.0105,-0.0315,43.86,5,1014.14,39.7,39.032,62029,16:54:30:021
0.0185,0.0161,-0.0197,43.86,5,1014.2,39.7,41.376,63029,16:54:31:021
-0.0028,0.0098,-0.0484,45.84,5,1014.39,39.7,40.251,64030,16:54:32:022
0.0075,0.0564,0.0195,45.84,5,1014.45,39.7,36.322,65029,16:54:33:021
0.0096,-0.0162,-0.0081,45.84,5,1014.36,39.7,34.077,66029,16:54:34:021
0.0124,-0.0081,-0.054,45.84,5,1014.17,39.7,35.611,67029,16:54:35:021
-0.0016,0.0189,-0.0428,45.84,5,1014.01,39.7,35.217,68029,16:54:36:021
-0.0913,0.0129,0.0283,45.84,5,1013.86,39.7,35.685,69029,16:54:37:021
0.0159,-0.0181,-0.0795,45.84,5,1013.82,39.7,36.838,70029,16:54:38:021
0.0811,-0.0456,-0.03,45.84,5,1013.73,39.6,41.793,71029,16:54:39:021
0.0129,0.0193,0.0319,45.84,5,1013.63,39.6,39.356,72029,16:54:40:021
-0.0092,-0.0306,0.0058,45.84,5,1013.62,39.6,44.846,73029,16:54:41:021
-0.0687,-0.0125,-0.0236,45.84,5,1013.57,39.6,56.506,74029,16:54:42:021
-0.0514,2.00E-04,-0.024,45.84,5,1013.49,39.6,52.759,75029,16:54:43:021
-0.0237,-0.0201,0.0232,45.84,5,1013.44,39.5,44.865,76029,16:54:44:021
-0.0427,-0.0051,-0.0112,45.84,5,1013.43,39.5,44.443,77029,16:54:45:021
0.0178,-0.0141,0.0252,45.84,5,1013.49,39.5,48.35,78029,16:54:46:021
-0.0428,0.0224,0.0717,45.84,5,1013.54,39.4,50.522,79029,16:54:47:021
-0.0115,-0.0064,-0.0466,45.84,5,1013.45,39.4,53.62,80029,16:54:48:021
-0.0016,0.0123,-0.0212,45.84,5,1013.52,39.4,56.22,81029,16:54:49:021
0.0238,0.0081,-0.0374,45.84,5,1013.53,39.3,53.111,82029,16:54:50:021
0.0037,-0.0112,-0.0081,45.84,5,1013.53,39.3,39.591,83029,16:54:51:021
0.0127,0.0526,-0.024,45.84,5,1013.58,39.3,37.792,84029,16:54:52:021
-0.0496,0.0322,0.0407,45.84,5,1013.83,39.3,39.452,85029,16:54:53:021
-0.0647,-0.0418,0.0087,45.84,5,1013.82,39.2,42.132,86029,16:54:54:021
-0.012,-0.0201,0.0701,45.84,5,1013.81,39.2,47.536,87029,16:54:55:021
-0.0195,-0.0116,0.0056,45.84,5,1013.85,39.2,55.398,88029,16:54:56:021
-0.0673,-0.0086,0.0879,45.84,5,1013.74,39.2,55.921,89029,16:54:57:021
0.0216,0.0471,-0.0085,45.84,5,1013.78,39.2,54.16,90029,16:54:58:021
-0.0106,-0.0074,-0.0245,45.84,5,1013.62,39.2,51.59,91029,16:54:59:021
0.0074,0.0199,-0.0137,45.84,5,1013.38,39.1,51.3,92029,16:55:00:021
-0.0043,0.0258,0.052,45.84,5,1013.5,39.1,51.911,93029,16:55:01:021
-0.0151,0.0233,-0.0098,45.84,5,1013.61,39.1,49.348,94029,16:55:02:021
0.027,-0.0017,-0.0254,45.84,5,1013.68,39,49.44,95029,16:55:03:021
0.0376,-0.0175,-0.0056,45.84,5,1013.8,39,47.499,96029,16:55:04:021
0.0352,0.0307,-0.0135,45.84,5,1013.86,39,49.906,97029,16:55:05:021
-0.023,-0.0038,-0.049,45.84,5,1013.94,39,50.85,98029,16:55:06:021
-0.0256,-0.0011,-0.0242,45.84,5,1013.94,39,49.941,99029,16:55:07:021
0.033,0.0221,0.0446,45.84,5,1014,39,51.12,100029,16:55:08:021
0.0262,0.0563,0.0158,45.84,5,1013.99,39,56.195,101029,16:55:09:021
-0.0171,-0.0172,-0.043,45.84,5,1013.99,39,55.327,102030,16:55:10:022
-0.013,-0.018,-0.0191,45.84,5,1013.99,38.9,50.458,103029,16:55:11:021
0.0042,0.0298,0.0339,45.84,5,1013.93,38.9,56.027,104029,16:55:12:021
-0.0223,-0.0233,-0.0084,45.84,5,1013.91,38.9,53.348,105029,16:55:13:021
-0.0114,0.0081,-0.0877,45.84,5,1013.96,38.9,56.882,106029,16:55:14:021
-0.0123,-0.0452,-0.0098,45.84,5,1013.88,38.9,51.231,107029,16:55:15:021
0.0018,-0.0215,-0.006,45.84,5,1013.91,38.9,54.645,108029,16:55:16:021
-0.0315,0.0331,0.0462,45.84,5,1014.02,38.9,52.138,109029,16:55:17:021
-0.0021,0.0594,-0.0341,45.84,5,1014.07,38.9,50.603,110029,16:55:18:021
0.0022,0.0161,-0.0072,45.84,5,1014.08,38.8,54.294,111029,16:55:19:021
-0.0222,-0.0163,-0.0099,45.84,5,1014.02,38.8,53.789,112030,16:55:20:022
0.0349,-0.0353,-0.0326,45.84,5,1014.02,38.8,53.512,113029,16:55:21:021
0.0074,-0.0361,-0.0046,45.84,5,1014.05,38.8,55.907,114029,16:55:22:021
0.0228,0.036,-0.0599,45.84,5,1014,38.8,41.595,115030,16:55:23:022
0.0117,0.0046,0.0071,45.84,5,1014.03,38.8,35.881,116029,16:55:24:021
-6.00E-04,0.0112,0.0772,45.84,5,1014.06,38.8,36.926,117029,16:55:25:021
-0.0149,0.0332,-0.0524,45.84,5,1014.02,38.8,35.452,118029,16:55:26:021
-0.0494,0.0131,0.0367,45.84,5,1014.02,38.8,52.597,119030,16:55:27:022
-0.0079,-0.0172,-0.0551,45.84,5,1014,38.8,60.599,120029,16:55:28:021
0.0046,-0.0376,-0.0124,45.84,5,1013.96,38.8,57.671,121029,16:55:29:021
0.0146,-0.0602,0.0595,45.84,5,1014.01,38.8,49.261,122029,16:55:30:021
