Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
17:55:52,1,65,37,48,0,4
17:55:53,2,65,51,48,0,4
17:55:54,3,65,38,48,0,4
17:55:55,4,66,37,48,0,4
17:55:56,5,66,37,48,0,4
17:55:57,6,66,36,48,0,4
17:55:58,7,67,36,48,0,4
17:55:59,8,68,37,48,0,4
17:56:00,9,69,36,48,0,4
17:56:01,10,69,37,48,0,4
17:56:02,11,69,37,48,0,4
17:56:03,12,69,37,48,0,4
17:56:04,13,69,47,48,0,4
17:56:05,14,69,44,48,0,4
17:56:06,15,69,49,48,0,4
17:56:07,16,69,44,48,0,4
17:56:08,17,69,57,48,0,4
17:56:09,18,69,41,48,0,4
17:56:10,19,69,40,48,0,4
17:56:11,20,70,58,48,0,4
17:56:12,21,70,48,48,0,4
17:56:13,22,70,41,48,0,4
17:56:14,23,70,38,48,0,4
17:56:15,24,71,39,48,0,4
17:56:16,25,71,37,38,0,4
17:56:17,26,71,38,42,0,4
17:56:18,27,71,38,37,0,4
17:56:19,28,71,36,41,0,4
17:56:20,29,71,38,41,0,4
17:56:21,30,71,38,41,0,4
17:56:22,31,71,36,41,0,4
17:56:23,32,71,36,45,0,4
17:56:24,33,71,36,45,0,4
17:56:25,34,71,36,45,0,4
17:56:26,35,71,36,45,0,4
17:56:27,36,73,35,45,0,4
17:56:28,37,73,37,45,0,4
17:56:29,38,73,35,45,0,4
17:56:30,39,73,36,45,0,4
17:56:31,40,73,36,45,0,4
17:56:32,41,73,36,45,0,4
17:56:33,42,73,36,45,0,4
17:56:34,43,74,42,45,0,4
17:56:35,44,73,39,45,0,4
17:56:36,45,73,40,45,0,4
17:56:37,46,73,37,45,0,4
17:56:38,47,73,42,45,0,4
17:56:39,48,73,42,45,0,4
17:56:40,49,73,36,45,0,4
17:56:41,50,73,36,45,0,4
17:56:42,51,73,38,45,0,4
17:56:43,52,73,37,45,0,4
17:56:44,53,73,37,45,0,4
17:56:45,54,72,35,45,0,4
17:56:46,55,72,42,45,0,4
17:56:47,56,72,39,45,0,4
17:56:48,57,72,42,45,0,4
17:56:49,58,72,51,45,0,4
17:56:50,59,70,49,45,0,4
17:56:51,60,70,43,45,0,4
17:56:52,61,70,43,45,0,4
17:56:53,62,70,47,45,0,4
17:56:54,63,70,48,45,0,4
17:56:55,64,70,50,45,0,4
17:56:56,65,70,53,45,0,4
17:56:57,66,70,56,45,0,4
