LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-0.0759,-0.199,2.563,2.4177,2,30.862,14:53:27:938
-1.0829,-1.7767,1.2768,3,2,41.612,14:53:28:938
0.3861,0.6859,-0.2524,3.4146,2,35.812,14:53:29:940
0.4397,0.1975,0.5774,3.4146,2,33.911,14:53:30:937
0.0351,0.1046,-0.0162,3.4146,2,38.845,14:53:31:938
-0.4431,-0.2349,-0.0925,3.4146,2,28.699,14:53:32:938
0.1765,-1.1605,-2.6214,3.4275,2,43.203,14:53:33:937
-0.164,2.4539,0.5215,3,2,38.478,14:53:34:938
3.3414,1.0075,-0.2149,3,2,51.072,14:53:35:938
0.5584,0.6793,-2.3285,2.5762,2,39.142,14:53:36:938
0.5994,-2.1035,-0.3893,2.4233,2,35.693,14:53:37:938
-0.2997,-0.879,-1.3523,27.5605,2,34.575,14:53:38:938
-0.3077,0.3777,-0.7193,16.1519,2,33.913,14:53:39:938
-0.1949,0.3818,0.8819,20,2,42.274,14:53:40:938
-1.6122,0.2101,0.6265,14.7626,2,32.944,14:53:41:939
-3.0569,5.3205,-2.7993,3.5764,2,37.222,14:53:42:939
0.4261,0.1852,-0.43,79,2,37.32,14:53:43:939
-0.4692,1.1968,0.281,41.8215,2,55.996,14:53:44:939
-0.0517,0.199,0.0889,42,2,45.744,14:53:45:938
-0.0272,0.071,0.0421,42,2,51.936,14:53:46:938
7.00E-04,0.0387,0.0046,41,2,40.777,14:53:47:939
0.0196,0.0013,0.0074,41.5763,2,45.456,14:53:48:938
-0.0165,0.0085,0.0313,42,2,45.5,14:53:49:938
-0.0037,-0.0063,0.0699,41.5789,2,47.672,14:53:50:938
-0.0053,0.0108,0.0316,42,2,50.599,14:53:51:952
0.0335,-0.0446,-0.0565,41.3874,2,47.706,14:53:52:939
0.0138,0,0.0241,41.4184,2,36.073,14:53:53:938
0.033,0.0216,-0.014,41.6033,2,34.283,14:53:54:939
