LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-0.0067,0.0161,0.0343,50.5665,2,19.628,15:51:48:148
0.0053,0.0422,0.0327,49.8649,2,28.029,15:51:49:150
0.0291,0.0019,0.0075,50.4317,2,29.492,15:51:50:149
-0.0137,-0.0401,0.0415,50.8638,2,34.549,15:51:51:149
0.0058,-0.003,0.0932,51,2,42.245,15:51:52:148
0.018,-0.0096,-0.0267,50.6014,2,30.704,15:51:53:151
0.0101,0.053,-0.0406,50.8457,2,34.073,15:51:54:149
-0.0188,0.0155,0.0229,50.4196,2,52.221,15:51:55:149
0.0119,0.0063,0.0161,51.1434,2,49.899,15:51:56:149
-0.0032,0.0411,-0.0139,51,2,35.55,15:51:57:151
-0.0378,-0.0022,0.0315,50.5732,2,39.368,15:51:58:148
0.0276,-0.0328,-0.0237,51,2,38.918,15:51:59:149
0.0069,-0.0201,-0.0092,50,2,40.233,15:52:00:151
-0.0136,-0.0061,-0.0791,51.5788,2,39.044,15:52:01:148
0.0189,-0.0316,-0.0532,51.4336,2,53.981,15:52:02:148
0.0036,-0.0063,0.0183,51.4271,2,38.608,15:52:03:148
8.00E-04,0.0482,-0.0235,51.406,2,34.625,15:52:04:148
-0.0023,0.0184,-0.0539,51,2,32.103,15:52:05:149
-0.0031,-0.0257,0.0214,51.1471,2,31.03,15:52:06:149
-0.0062,-0.0085,-0.0325,51.1842,2,31.574,15:52:07:182
-0.0023,0.01,-0.0095,51.4257,2,36.266,15:52:08:150
-0.0351,-0.0038,-0.0048,50.8486,2,41.463,15:52:09:149
0.0188,-0.0238,-0.0718,51,2,16.43,15:52:10:150
0.0058,-0.0257,0.0231,50.8392,2,37.228,15:52:11:149
-0.0254,-0.013,-0.0218,50.8673,2,32.849,15:52:12:149
-0.0145,-0.0048,0.0104,51,2,48.884,15:52:13:149
-0.0023,-0.0341,-0.0195,51.8673,2,40.207,15:52:14:150
0.0288,-0.0053,-0.012,50.4201,2,44.371,15:52:15:148
0.0143,-0.0019,0.0074,51.5872,2,37.946,15:52:16:149
4.00E-04,0.0426,-0.0355,51.1328,2,44.501,15:52:17:148
8.00E-04,0.0128,-0.037,51.5819,2,29.051,15:52:18:149
0.0274,0.0099,-0.0306,51.699,2,31.45,15:52:19:150
6.00E-04,-0.0393,0.0293,52,2,30.397,15:52:20:149
0.0105,-0.0079,0.0311,51.1338,2,15.414,15:52:21:149
0.0052,0.0283,0.0448,52,2,16.666,15:52:22:149
0.0067,-0.0313,-0.0171,52.1613,2,15.397,15:52:23:148
-0.0118,0.0039,-0.0124,52.1339,2,15.58,15:52:24:149
0.0245,-0.0203,-0.0216,52.4315,2,16.402,15:52:25:149
-0.0063,-0.0107,0.0177,52.1325,2,15.98,15:52:26:148
-0.0079,-0.039,0.0221,52.5799,2,16.421,15:52:27:184
0.0399,0.0219,-0.0183,52.1552,2,16.619,15:52:28:148
-0.0122,0.0298,0.0224,52.1603,2,15.559,15:52:29:148
8.00E-04,-0.029,0.0399,52.5791,2,19.551,15:52:30:148
-0.0189,-0.0166,0.0132,52.1484,2,32.967,15:52:31:149
0.021,0.0093,-0.035,52.1324,2,38.919,15:52:32:148
-0.0349,-0.0139,-0.029,52.4307,2,40.06,15:52:32:875
-0.0189,-0.0112,-0.0662,52.1434,2,39.011,15:52:33:875
-0.008,0.0078,-0.0537,52.5665,2,48.153,15:52:34:875
0.0086,0.0368,-0.0491,52.5723,2,37.348,15:52:35:875
0.05,-0.0453,-0.0378,52.1636,2,54.012,15:52:36:875
-0.0216,0.0118,0.0151,52.1456,2,23.961,15:52:37:876
0.0068,-0.0118,-0.0016,52.426,2,30.731,15:52:38:875
-0.0102,6.00E-04,-0.0203,52,2,36.132,15:52:39:875
0.0107,0.0183,0.0247,52.1533,2,33.034,15:52:40:874
0.0077,-0.0131,0.0408,51.4336,2,16.289,15:52:41:877
-0.0225,0.0155,0.0306,51.5706,2,39.868,15:52:42:876
0.0049,-0.0335,-0.0595,51.8459,2,24.116,15:52:43:876
-0.0161,0.0065,0.0071,52,2,22.032,15:52:44:876
-0.0165,0.0342,0.0213,51.5802,2,42.54,15:52:45:875
-0.0054,-0.035,0.0563,51.8398,2,39.253,15:52:46:875
-0.009,0.0145,0.0239,52,2,44.673,15:52:47:876
9.00E-04,0.0303,-0.0066,51.8585,2,44.482,15:52:48:875
-0.0138,-0.0011,-0.0241,51.8401,2,32.852,15:52:49:875
-9.00E-04,0.0021,0.0481,52,2,26.513,15:52:50:874
0.0097,-0.0154,0.0416,51.8425,2,25.963,15:52:51:875
-0.0134,-0.0081,-0.0422,51.8647,2,24.487,15:52:52:876
-0.0124,-0.0371,0.0502,52.5662,2,27.197,15:52:53:883
-0.0054,0.0135,-0.0602,51.8642,2,24.786,15:52:54:876
-9.00E-04,-0.0199,-0.0015,51,2,25.221,15:52:55:876
0.0098,0.0201,-0.0495,51.8563,2,25.624,15:52:56:876
-0.0093,-0.0327,0.0363,52.4276,2,23.853,15:52:57:875
0.0215,0.0191,-0.0754,51.8403,2,21.438,15:52:58:876
0.0161,-0.0226,-0.0055,52.4317,2,26.287,15:52:59:875
0.0126,-0.0025,0.0773,51.5685,2,16.218,15:53:00:876
-0.0195,-0.0067,-0.0055,51.8631,2,19.646,15:53:01:875
-0.0016,-0.0547,-0.0269,52,2,35.402,15:53:02:875
0.0117,0.0029,0.0095,52.4316,2,33.572,15:53:03:885
0.0019,0.0107,-0.0367,52,2,18.82,15:53:04:875
-0.0212,0.0071,0.0582,52.5682,2,19.084,15:53:05:875
0.0064,0.0183,-0.043,52.5662,2,16.129,15:53:06:875
0.0116,-0.0138,-0.036,52.7429,2,19.956,15:53:07:874
0.015,-0.0152,0.0177,52.4206,2,19.545,15:53:08:874
-0.0048,0.0442,0.0464,52.5676,2,35.296,15:53:09:875
-0.0027,0.0025,0.0315,52.5689,2,36.345,15:53:10:875
-0.0335,0.0061,-0.0248,52.4273,2,39.017,15:53:11:877
0.0082,-0.0273,-0.0211,51.867,2,38.395,15:53:12:875
0.0058,0.0393,0.041,52.4206,2,28.813,15:53:13:874
0.0122,0.0022,0.068,52.5678,2,23.012,15:53:14:875
0.0075,0.0202,0.0446,52.5687,2,23.444,15:53:15:875
-0.0027,0.014,-0.0464,52.4313,2,21.961,15:53:16:875
7.00E-04,-0.0125,0.0168,52.2937,2,17.264,15:53:17:875
4.00E-04,0.035,-0.0551,52.5717,2,16.946,15:53:18:875
0.0216,-0.0031,-0.0448,52.1383,2,17.069,15:53:19:875
0.0268,0.0162,0.0632,53,2,17.652,15:53:20:875
-0.001,0.0306,0.0794,52.7172,2,17.324,15:53:21:874
-0.0207,0.0125,0.0067,52.572,2,16.915,15:53:22:877
0.0121,0.0065,0.0173,52.1487,2,16.013,15:53:23:877
-0.0121,0.0179,-2.00E-04,53,2,16.996,15:53:24:876
0.0036,0.0071,-0.0157,53,2,32.441,15:53:25:875
0.0065,0.0052,0.0382,52.5717,2,34.849,15:53:26:876
-0.0305,-0.0244,0.0162,52.5827,2,37.276,15:53:27:874
-0.0149,0.0011,-0.0592,52.8484,2,30.758,15:53:28:876
0.018,-0.0161,0.0274,52.4314,2,29.766,15:53:29:875
-0.0029,0.0345,-0.1068,53,2,28.984,15:53:30:875
0.0132,-0.0164,0.0386,52.5685,2,29.152,15:53:31:875
0.0235,0.0224,-0.0053,53,2,30.126,15:53:32:875
0.0138,-0.0103,0.0403,52.1372,2,20.989,15:53:33:875
-0.0229,-0.0108,-0.0324,52.5665,2,20.47,15:53:34:876
0.0248,-0.0303,0.0158,52.4319,2,55.912,15:53:35:875
0.0132,0.0051,-0.0208,52.1445,2,45.171,15:53:36:875
0.0035,0.0032,0.0439,52.4281,2,50.406,15:53:37:875
0.0087,0.025,0.0238,52.573,2,19.93,15:53:38:875
-0.0269,-0.0275,-0.0695,52.5723,2,29.945,15:53:39:875
-0.0074,-0.0144,0.0426,53,2,32.983,15:53:40:875
-0.0095,0.0105,0.0283,52.5698,2,28.855,15:53:41:875
-0.0227,-0.0233,-0.0188,52.1353,2,26.873,15:53:42:875
0.0104,-0.0074,0.0017,52.4274,2,38.053,15:53:43:876
0.0283,0.0134,0.0737,51.8685,2,76.325,15:53:44:875
0.0257,0.0461,0.0165,52.4205,2,33.603,15:53:45:875
0.0039,0.0205,-0.0329,51.8405,2,35.94,15:53:46:874
0.037,-0.0413,-0.0056,52,2,73.687,15:53:47:875
0.0192,0.0132,0.0431,51.86,2,54.693,15:53:48:875
-0.0036,-0.0311,-0.0425,52.8666,2,37.503,15:53:49:874
-0.0176,0.0127,0.0442,52.4324,2,75.49,15:53:50:875
0.0175,0.0015,-0.0335,52.5737,2,25.165,15:53:51:875
-0.0394,0.0141,-0.0029,52.4323,2,43.679,15:53:52:875
0.0289,0.0015,-0.001,52.4322,2,55.701,15:53:53:875
0.0193,0.0127,-0.0138,52.8643,2,56.383,15:53:54:875
0.0129,-2.00E-04,0.0133,52.4324,2,69.233,15:53:55:875
0.0052,-0.0171,-0.0092,52.5678,2,45.52,15:53:56:875
0.0282,0.021,0.0191,52.4323,2,68.531,15:53:57:875
0.0292,0.0265,0.0772,52.4262,2,20.706,15:53:58:875
-0.0658,-0.0329,0.0821,52.4323,2,40.593,15:53:59:875
0.0376,0.0018,-0.0666,52.6149,2,55.266,15:54:00:875
0.0225,-0.0156,-0.0397,52.5676,2,74.08,15:54:01:875
-0.0019,0.0185,-0.0492,52.5672,2,72.097,15:54:02:876
-0.0141,0.0339,0.027,52.1397,2,16.211,15:54:03:875
-0.0109,0.0045,0.0365,52.5678,2,28.8,15:54:04:876
-0.005,-0.0344,0.0013,52.1462,2,39.294,15:54:05:876
0.0187,-0.0384,-0.0443,53,2,55.815,15:54:06:875
0.0257,0.0911,-0.0637,52.1309,2,42.711,15:54:07:875
0.0176,-0.0198,0.0436,53,2,59.001,15:54:08:875
-0.0222,-4.00E-04,-0.0246,52.5655,2,53.949,15:54:09:875
-0.0302,-0.0494,-0.0533,52.4344,2,60.559,15:54:10:875
-0.0099,-0.0119,0.0224,52.5734,2,31.991,15:54:11:875
-0.006,0.0178,0.0403,52.4344,2,26.367,15:54:12:875
-0.0563,-0.0197,0.0269,51.8688,2,54.439,15:54:13:874
-0.0296,0.0063,0.0276,52.4269,2,23.874,15:54:14:876
-0.0329,-0.0459,-0.0427,51.8653,2,63.333,15:54:15:874
0.0262,-0.0403,-0.0253,52.4148,2,17.909,15:54:16:875
0.0011,-0.0163,4.00E-04,51.8545,2,57.743,15:54:17:876
0.012,-0.0134,-0.0105,52,2,59.206,15:54:18:876
0.0219,0.0817,0.0218,52.1335,2,37.302,15:54:19:884
0.012,2.00E-04,0.0476,52.419,2,54.21,15:54:20:875
0.0252,-0.024,-0.0383,52.1519,2,55.801,15:54:21:875
-0.0264,-0.044,0.0094,52.5795,2,59.087,15:54:22:875
0.0463,-0.0675,-0.1059,52.1372,2,61.884,15:54:23:875
0.023,0.0188,0.0079,53,2,51.179,15:54:24:874
-0.0042,0.015,-0.0531,53.4319,2,63.587,15:54:25:876
-0.003,0.1283,0.1316,52.5701,2,61.698,15:54:26:875
0.0288,0.0111,-0.0154,52.4321,2,63.321,15:54:27:875
-0.0023,0.0305,-0.0078,52.5692,2,72.036,15:54:28:875
-0.0077,0.0335,-0.0177,52.4313,2,71.936,15:54:29:875
0.0231,0.0353,-0.0447,52.5691,2,64.739,15:54:30:875
-0.013,-0.0313,-0.1067,51.8645,2,60.843,15:54:31:875
0.0228,0.0057,-0.0434,51.8619,2,67.878,15:54:32:875
0.004,0.0114,0.0168,51.8628,2,67.264,15:54:33:875
4.00E-04,0.0203,-0.0396,52.4344,2,70.698,15:54:34:878
0.0096,-0.0283,-0.0563,51.8666,2,73.27,15:54:35:875
-2.00E-04,0.0367,-0.0322,52.4344,2,67.336,15:54:36:878
-0.0387,0.0399,-0.0535,52,2,50.949,15:54:37:875
0.01,0.013,0.0664,51.8659,2,49.038,15:54:38:875
-0.0127,0.0117,0.0058,52.5676,2,46.85,15:54:39:875
-0.0029,-0.0183,-0.0378,51.8428,2,53.221,15:54:40:875
-0.0215,-0.0693,-0.0354,52.5722,2,62.577,15:54:41:875
-0.0078,0.0355,0.0557,52.5663,2,70.601,15:54:42:875
0.0077,0.0145,-0.027,52.4172,2,71.356,15:54:43:875
-0.0269,0.0203,0.038,51.8304,2,67.42,15:54:44:875
0.0214,-0.0181,-0.0161,52.1684,2,65.721,15:54:45:874
-0.004,0.0144,0.069,52.5825,2,66.588,15:54:46:875
-0.032,0.03,0.0146,53,2,68.16,15:54:47:875
0.0402,-0.0772,0.052,52.1375,2,65.421,15:54:48:875
-0.0316,-0.0279,0.052,52.5731,2,66.971,15:54:49:876
0.0439,0.0383,-0.0065,52.1504,2,62.98,15:54:50:876
-0.0049,0.0491,-0.0163,52.5726,2,64.724,15:54:51:874
-0.0063,-0.0029,-0.0185,52.5902,2,64.464,15:54:52:875
0.0123,0.0376,-0.0466,52.5677,2,62.486,15:54:53:876
