LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0239,0.059,-0.037,45.56,5,1017.38,27.9,0,4,19:54:31:996
0.0101,-0.0101,-0.0298,45.56,5,1017.43,27.9,0,1003,19:54:32:995
-0.0418,0.0145,-0.0357,45.56,5,1017.52,27.9,0,2004,19:54:33:996
0.0405,-0.0164,0.0372,45.56,5,1017.44,28,0,3004,19:54:34:996
0.039,0.0345,0.0467,45.56,5,1017.33,28,0,4003,19:54:35:995
-0.0459,0.0399,-0.0041,45.56,5,1017.25,28,0,5003,19:54:36:995
0.047,0.0478,0.0762,45.56,5,1017.19,28,0,6003,19:54:37:995
0.0334,0.054,-0.0221,45.56,5,1017.16,28,0,7004,19:54:38:996
0.033,0.0118,0.0317,45.56,5,1017.12,28,0,8004,19:54:39:996
0.0215,-0.0268,-0.0831,45.56,5,1017.03,28,0,9004,19:54:40:996
0.0026,0.0205,-0.0264,45.56,5,1016.98,28,0,10003,19:54:41:995
0.0212,0.0289,0.027,45.56,5,1016.93,28,0,11004,19:54:42:996
0.0214,-0.0347,0.079,45.56,5,1016.93,28,0,12003,19:54:43:995
-0.0235,-0.0161,0.0035,45.56,5,1016.93,27.9,0,13004,19:54:44:996
-0.0096,-0.0106,-0.0184,45.56,5,1016.93,27.9,0,14004,19:54:45:996
0.0147,-0.0401,-0.0711,45.56,5,1016.93,27.9,0,15004,19:54:46:996
0.0294,-0.0032,-0.0689,45.56,5,1016.97,27.9,0,16004,19:54:47:996
-0.0289,-0.08,-0.0901,45.56,5,1016.96,27.9,0,17003,19:54:48:995
0.017,-0.0094,0.0232,45.56,5,1016.98,27.9,0,18004,19:54:49:996
0.0567,-0.0453,0.0318,45.56,5,1017,27.9,0,19003,19:54:50:995
-0.0059,0.0246,-0.0513,45.56,5,1017.04,27.9,0,20004,19:54:51:996
0.0526,-0.0068,0.0606,45.56,5,1017.04,27.9,0,21004,19:54:52:996
0.0581,0.011,0.0592,45.56,5,1017,27.8,0,22004,19:54:53:996
0.0154,0.0103,0.064,45.56,5,1017.01,27.8,0,23004,19:54:54:996
-0.034,-0.0544,-0.0581,45.56,5,1017.01,27.8,0,24003,19:54:55:995
-0.0081,0.0075,-0.0467,45.56,5,1017,27.8,0,25004,19:54:56:996
-0.0048,-0.0104,0.0145,45.56,5,1017.06,27.8,0,26004,19:54:57:996
0.0504,0.0057,0.0077,45.56,5,1017.13,27.8,0,27004,19:54:58:996
0.0549,-0.0938,-0.0738,45.56,5,1017.21,27.8,0,28003,19:54:59:995
-0.0139,-0.0282,0.0407,45.56,5,1017.25,27.8,0,29004,19:55:00:996
-0.0107,-0.0312,0.0086,45.56,5,1017.28,27.9,0,30003,19:55:01:995
-0.0099,0.0386,0.0359,45.56,5,1017.28,27.9,0,31003,19:55:02:995
0.0422,0.0242,-0.0633,45.56,5,1017.27,27.9,0,32003,19:55:03:995
-0.0088,0.0055,-0.0058,45.56,5,1017.19,27.9,0,33003,19:55:04:995
-0.0414,-0.0255,-0.0306,45.56,5,1017.12,27.9,0,34004,19:55:05:996
-0.0598,0.0296,-0.0057,45.56,5,1017.18,27.9,0,35003,19:55:06:995
-0.0263,0.0055,-0.0643,45.56,5,1017.22,27.9,0,36003,19:55:07:995
-0.0057,-0.0322,0.0106,45.56,5,1017.3,27.9,0,37003,19:55:08:995
0.0394,-0.0458,-0.0305,45.56,5,1017.34,27.9,0,38003,19:55:09:995
-0.0276,0.0518,0.0676,45.56,5,1017.34,27.9,0,39003,19:55:10:995
0.0545,0.0207,0.0956,45.56,5,1017.29,28,0,40004,19:55:11:996
-0.033,0.0343,-0.0558,45.56,5,1017.24,28,0,41003,19:55:12:995
0.0059,0.0022,0.0706,45.56,5,1017.24,28,0,42003,19:55:13:995
-0.063,-0.0493,-0.0131,45.56,5,1017.21,28,0,43003,19:55:14:995
-0.0097,-0.018,-0.097,45.56,5,1017.12,28,0,44004,19:55:15:996
-5.00E-04,-0.0371,-0.0268,45.56,5,1017.1,28,0,45004,19:55:16:996
0.0277,0.0311,0.0033,45.56,5,1017.09,28,0,46004,19:55:17:996
-0.0368,-0.0047,-0.0134,45.56,5,1017.05,28,0,47003,19:55:18:995
0.0571,0.0366,-0.0614,45.56,5,1017.04,28,0,48003,19:55:19:995
-0.0084,0.0049,-0.029,45.56,5,1016.99,28,0,49003,19:55:20:995
-0.0557,0.0064,0.0979,45.56,5,1016.99,27.9,0,50004,19:55:21:996
0.0066,0.01,-0.0136,45.56,5,1016.97,27.9,0,51004,19:55:22:996
-0.0209,0.0532,0.0089,45.56,5,1016.98,27.9,0,52004,19:55:23:996
-0.0377,0.0046,-0.0447,45.56,5,1016.99,27.9,0,53003,19:55:24:995
-0.0176,0.0321,0.0166,45.56,5,1017.01,27.9,0,54003,19:55:25:995
-0.046,0.0037,0.0727,45.56,5,1017.06,27.9,0,55004,19:55:26:996
-0.0016,0.0301,7.00E-04,45.56,5,1017.01,27.9,0,56004,19:55:27:996
-0.055,-0.001,0.0404,45.56,5,1017.03,27.9,0,57003,19:55:28:995
-0.0095,-0.0209,0.0194,45.56,5,1017.02,27.9,0,58003,19:55:29:995
-0.0208,-0.0211,0.0036,45.56,5,1017.04,27.9,0,59004,19:55:30:996
-0.0122,0.0296,-0.0465,45.56,5,1017.02,27.9,0,60003,19:55:31:995
0.0099,-0.0192,-0.0153,45.56,5,1017.04,27.9,0,61004,19:55:32:996
-0.0128,0.0072,0.0571,45.56,5,1017.04,27.9,0,62004,19:55:33:996
-0.0043,0.0086,-0.113,45.56,5,1017.09,27.9,0,63004,19:55:34:996
0.034,0.0313,0.0547,45.56,5,1017.34,27.9,0,64003,19:55:35:995
-0.0047,-0.0023,0.0122,45.56,5,1017.55,27.9,0,65003,19:55:36:995
