LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0573,0.0604,0.0545,42.45,5,1014.42,30.1,0,69009,17:21:43:228
-0.0119,0.0159,-0.0317,42.45,5,1014.29,30.1,0,70009,17:21:44:228
0.029,0.004,-8.00E-04,42.45,5,1014.21,30.1,0,71009,17:21:45:228
-0.0169,0.0399,-0.0163,42.45,5,1014.13,30.1,0,72009,17:21:46:228
0.0041,-0.0593,0.0646,42.45,5,1014.1,30.1,0,73009,17:21:47:228
0.0077,-3.00E-04,-0.0245,42.45,5,1014.1,30,0,74009,17:21:48:228
-0.0021,0.0321,-0.0121,42.45,5,1014.09,30,0,75009,17:21:49:228
-0.0033,0.0315,0.0104,42.45,5,1014.11,30,0,76010,17:21:50:229
0.0034,0.0116,0.0359,42.45,5,1014.09,30,0,77009,17:21:51:228
-0.0152,-0.0444,0.0138,42.45,5,1014.12,29.9,0,78009,17:21:52:228
-0.0114,0.0119,-0.0077,42.45,5,1014.12,29.9,0,79010,17:21:53:229
0.0092,-0.0059,0.0304,42.45,5,1014.13,29.9,0,80009,17:21:54:228
-0.0169,0.021,-0.0523,42.45,5,1014.13,29.9,0,81009,17:21:55:228
-0.0425,-0.0019,0.0568,42.45,5,1014.17,29.8,0,82010,17:21:56:229
0.0137,-0.0498,0.0108,42.45,5,1014.18,29.8,0,83009,17:21:57:228
-0.0178,-0.0269,0.009,42.45,5,1014.18,29.8,0,84009,17:21:58:228
-0.0386,-0.007,-0.0427,42.45,5,1014.19,29.8,0,85009,17:21:59:228
0.0102,0.0263,0.009,42.45,5,1014.21,29.8,0,86009,17:22:00:228
0.0349,0.0101,-0.0202,42.45,5,1014.21,29.7,0,87009,17:22:01:228
-0.0021,0.0076,0.0452,42.45,5,1014.21,29.7,0,88009,17:22:02:228
0.0129,0.0109,0.0296,42.45,5,1014.23,29.7,0,89009,17:22:03:228
-0.0576,0.0152,0.0261,42.45,5,1014.25,29.7,0,90009,17:22:04:228
0.0248,0.0226,0.0054,42.45,5,1014.26,29.7,0,91010,17:22:05:229
-0.0221,0.0114,0.0624,42.45,5,1014.26,29.7,0,92009,17:22:06:228
-0.0336,0.0048,-0.0209,42.45,5,1014.27,29.6,0,93009,17:22:07:228
-0.0404,-0.0181,0.0075,42.45,5,1014.28,29.6,0,94009,17:22:08:228
0.0329,-0.0397,-0.0267,42.45,5,1014.3,29.6,0,95009,17:22:09:228
-0.0286,0.0044,0.0197,42.45,5,1014.29,29.6,0,96010,17:22:10:229
0.0048,0.0103,0.0109,42.45,5,1014.29,29.6,0,97009,17:22:11:228
-0.0326,-0.0277,0.0347,42.45,5,1014.31,29.6,0,98009,17:22:12:228
0.0302,0.048,-0.0027,42.45,5,1014.3,29.6,0,99010,17:22:13:229
-0.0127,-0.0213,0.0307,42.45,5,1014.34,29.6,0,100009,17:22:14:228
0.0573,-0.0075,-0.034,42.45,5,1014.34,29.6,0,101009,17:22:15:228
0.0526,-0.0128,-2.00E-04,42.45,5,1014.35,29.5,0,102009,17:22:16:228
0.0054,0.0019,0.0338,42.45,5,1014.37,29.5,0,103009,17:22:17:228
-0.0331,-0.0113,0.0542,42.45,5,1014.43,29.5,0,104009,17:22:18:228
-0.0031,-0.0125,0.0242,42.45,5,1014.44,29.5,0,105009,17:22:19:228
0.0152,-0.0059,0.0155,42.45,5,1014.45,29.5,0,106010,17:22:20:229
-0.03,-0.0303,0.0323,42.45,5,1014.44,29.5,0,107009,17:22:21:228
0.0226,-0.0288,-0.0616,42.45,5,1014.41,29.5,0,108009,17:22:22:228
-0.059,-0.0201,-0.0217,42.45,5,1014.41,29.5,0,109009,17:22:23:228
0.0041,0.0124,0.0147,42.45,5,1014.42,29.5,0,110009,17:22:24:228
0.0391,-0.0175,-0.027,42.45,5,1014.39,29.5,0,111009,17:22:25:228
-0.0166,-0.0045,0.0384,42.45,5,1014.39,29.5,0,112009,17:22:26:228
0.0377,0.0219,-0.0251,42.45,5,1014.38,29.4,0,113010,17:22:27:229
-0.0059,0.0048,-0.057,42.45,5,1014.39,29.4,0,114009,17:22:28:228
-0.0823,-0.0588,0.0349,42.45,5,1014.43,29.4,0,115009,17:22:29:228
0.017,-0.0285,0.0263,42.45,5,1014.41,29.4,0,116009,17:22:30:228
-0.0138,0.0144,0.0513,42.45,5,1014.43,29.4,0,117009,17:22:31:228
0.0663,-0.0275,0.0041,42.45,5,1014.55,29.4,0,118009,17:22:32:228
-0.0035,0.0311,-0.0154,42.45,5,1014.54,29.4,0,119009,17:22:33:228
0.0159,-0.0308,0.0479,42.45,5,1014.52,29.4,0,120009,17:22:34:228
-0.0258,-0.036,0.0162,42.45,5,1014.49,29.4,0,121010,17:22:35:229
0.0379,-0.0151,-0.0814,42.45,5,1014.49,29.4,0,122009,17:22:36:228
-0.0334,0.0203,0.1034,42.45,5,1014.46,29.4,0,123008,17:22:37:227
-0.0087,0.0292,-0.0053,42.45,5,1014.44,29.4,0,124009,17:22:38:228
-0.0179,0.0068,-0.0168,42.45,5,1014.4,29.4,0,125009,17:22:39:228
-0.0243,0.006,0.073,42.45,5,1014.39,29.4,0,126009,17:22:40:228
-0.0157,0.0015,0.0594,42.45,5,1014.4,29.4,0,127009,17:22:41:228
0.0341,-0.0045,-0.0284,42.45,5,1014.38,29.4,0,128009,17:22:42:228
0.1217,-0.0298,-0.0095,42.45,5,1014.38,29.4,0,129009,17:22:43:228
-0.0151,0.0147,-0.0037,42.45,5,1014.38,29.4,0,130010,17:22:44:229
0.0142,-0.0128,-0.0655,42.45,5,1014.4,29.3,0,131009,17:22:45:228
-0.0012,0.0262,-0.0067,42.45,5,1014.39,29.3,0,132009,17:22:46:228
0.0058,-0.0311,-0.0785,42.45,5,1014.38,29.3,0,133008,17:22:47:227
-0.0763,0.0243,9.00E-04,42.45,5,1014.38,29.3,0,134009,17:22:48:228
